==== Start of Transcript: Deep Dive 11 - Work ====

Nikki Closser | Hi, everyone. Welcome back to deep dives. I'm Nikki Closer. I'm with Sue Bryce today.
Sue Bryce | Mhmm. Then you have to have an offer of value. You'll reinvent that a billion times, right? A billion times. Then once you learn how to be valuable and give service and value and you've got all your systems set up, you're only gonna run that for how long.

Sue Bryce | So It's gonna take you, I think it's gonna take you 2 to 3 years to monetize properly. Right? Mhmm. In the next 4 years, you master that, those systems, and then I feel like you start to get bored. Mhmm.

Nikki Closser | 7. That's just exactly how we Yeah. 7 is fine

Sue Bryce | for me. Mhmm. That's how it went for everybody. Mhmm. So then I was bored but instead of just saying I want more, I said I have to leave.

Sue Bryce | My identity was being torn apart. I'm a photographer anymore. Yes. I am. I'm just going to Australia to build an international career, and it was just a weird thing.

Sue Bryce | It was a weird moment, but, yeah, Yes. You were a social worker, then you were a photographer, then you were a business owner. Well, once you're a business owner, you can own any business. Yeah. Right?

Sue Bryce | Because now you have a real estate investing company, and you just keep going up. So the 7 year cycle is not identity. Everyone thinks it is. And weirdly, I was always told that every 7 years, it's like a life cycle. I was always told you change every 7 years.

Sue Bryce | Like, you know, and then I looked back through all that. I heard that too. Yeah. Fourteen. 21 is a big one.

Sue Bryce | 28 is another big change. You know, 35 is another big change. 42 is a big change. 49. I had a So I kind of was on that 7 year, so that also applies to life.

Sue Bryce | I just never heard the cycle with business that Terry was talking about. So if you look at that, Then I look at it like this. I had in the last 2008 till now is 15 years. 2009 when I moved to Australia to 2 thou to now is 14 years. The first seven I was developing my education brand.

Sue Bryce | The last seven, I was thriving in it.

Nikki Closser | Mhmm.

Sue Bryce | But I'm done with it.

Nikki Closser | Mhmm.

Sue Bryce | I've sold my business. It feels complete. That was my 7 year cycle. So when Terry said it to me, I'm like, I'm entering my 7th year cycle. My new 7th year cycle right now.

Sue Bryce | And it's self value. And I will build this for 7 years. You watch. And then I will you know, expand again in 7 years time. And so I think it's really extraordinary, but true.

Sue Bryce | I also wanna throw this out there to finish. I read a long time ago that the cycle of 2008 2009, which were 2 of the biggest disruptive years internationally for the economy and, you know, it was a big shift. At 12 years later, we'll be going through a similar cycle. So up the mountain, same view, different altitude. Mhmm.

Sue Bryce | The 2008, mirrors 2020. 2009 mirrors 21. 10, 22, and 11, 23, and then 12 will be 24. If you look at what you were doing in that life cycle, where were you at with work, love, body, change, It's remarkable. Everybody I've asked is literally gone.

Sue Bryce | Oh, I sold my house in 2008. And then I sold my house this year and or I left my job and started that business, or I left And I cannot believe how many people are seeing the cycle of growth. So 2008 was very disruptive for me. Not economy wise, I didn't lose any money on the economy. I was thriving in business.

Sue Bryce | That was the moment I needed to leave my business and grow again. 2009, I went to Australia to start again hit rock bottom. I felt like I hit rock bottom. I felt like I hit rock bottom in 21. I was built this business.

Sue Bryce | I was underneath it. I I'd built it on top of me again, and I couldn't breathe. And that was just me needing to run, but I didn't know how I was gonna change identity, and I ended up telling It's just crazy, but my cycle is matching. 2012 was my big trajectory year. And that means my 24 and 11 was my building year.

Sue Bryce | This is the year I'm building 2324 hopefully will be my trajectory if I'm tracking. So check that that cycle because I think it's fascinating and I'd love It really is. In the community. Where you go with that? I could talk about this.

Sue Bryce | 4 weeks, Nikki. Like, I'm literally don't wanna finish this conversation. Manitizing people, getting people to a career, and, is definitely something that lights all of my buyers.

Nikki Closser | I've seen I've watched you, you know, anytime we had a success story in the community of someone growing their business and raising their average sale, all the things. I mean, you would be like, yeah. Like, just so happy. So not mandatory.

Sue Bryce | Oh, yeah. You teach people how to build a business, and they might fail at it. If you teach people how to monetize, with value, they never ever go back. Nobody fails at monetization. You only fail when you haven't monetized with value.

Sue Bryce | When you know your value and you can communicate and demonstrate your value, you are the most powerful person in the room.

Nikki Closser | Alright. Well, I know we could talk about this forever, and we do.

Sue Bryce | Oh, we will.

Nikki Closser | But next time is awareness.

Sue Bryce | What what a lot of people probably don't understand about us too is it's more than A lot of people don't have people in their lives they can have these conversations with. Right. Our conversations are not about other people. Our conversations are about wealth, and visiting, growing.

Nikki Closser | Mhmm.

Sue Bryce | Balance and self value.

Nikki Closser | Relationships. Mhmm.

Sue Bryce | Yes. And I'm so grateful in my life that I've met so many people that come to these conversations because these are the only conversations I want to have in life. But just to know that if people knew that this was our regular conversation, and this is a conversation you and I really have without recording it. Yeah. In fact, a lot of people would go, we should be recording this conversation right now, and we're like, yeah, because these are the conversations we truly have I believe if you can't elevate the conversation, you should leave the room.

Sue Bryce | And I only want to talk to people that can elevate the conversation, elevate others elevate yourself, elevate your money, elevate your vibe, elevate your self care, elevate the conversation, or leave the room. Mhmm. You know, it's like bring it up. Bring it up because we want you to be up and out and living this beautiful big lie.

Nikki Closser | It's true.

Sue Bryce | Yeah. We'll have this conversation more.

Nikki Closser | Awesome. Alright. Next time we have awareness.

Sue Bryce | Yeah. Now for the next sort of series, we're gonna go into a awareness straightaway, then we're gonna go boundaries processing alignment daily ritual. We've seen everything in every area that can trip us up. We're learning emotional mastery and all the domains of emotional mastery. And now we're gonna learn how to wake up every day fall in love with our life, process yesterday's emotions, reset the self perception, and start asking for more.

Nikki Closser | Mhmm.

Sue Bryce | Oh, I just got all goosy.

Nikki Closser | I know. Me too.

Sue Bryce | Alright. Hit us up on the community group. I love that group, and it's so great to be back in the group chatting with people.

==== End of Transcript: Deep Dive 11 - Work ====
