Zoom Meeting 
Wed. Jun 19, 2024

0:56 - Unidentified Speaker Now you.
45:50 - Jim Huffman My gosh, I think like that's why I love what you're doing because like I can sell neat t-shirts I haven't really had to build too many like b2b funnels on social because usually it's You know other channels that we're using But we have an issue with top of funnel and that's also why I'm like so eager to get this going with us because I'm like one I think you and I can make some do some really cool big things with this, but like we said, the halo effect of growth hit, it's, it's just, it could be huge. And I I'm down to, if we want to use the growth at account, if we need to do the gym account, if we want to stand up a new one, I'm totally game. So, okay.

46:32 - Craig Swanson And actually this could actually be really helpful for me. Like one of the things I've do is I've got all these, I've got all these Facebook accounts. So, so I've been doing things that feel, um, Agency like in the sense that like I have multiple Facebook accounts. Yeah, but But I've got none of the discipline of an agency or like not like or or like I Don't know. I'm standing things up, right? I don't think like I don't know if I'm setting things up correctly within Facebook like like one of things really annoying Facebook is once you start going down a path you're kind of committed to that path even Yeah How many people do you have on this? And could I have access to the growth? Because one thing I would do with this is the exact same thing that you would do with a client is basically look for what is like, in here, there are things that are already basically people responding to and are kind of giving some clues on something.

47:30 - Jim Huffman Yeah, I can definitely give you access just to the correct email. The other thing that could be worthwhile is doing a chat with Jordan. Because she's a part of the Facebook Disruptor Lab. She does weekly calls with people that are like working on the algorithm. I mean, she's really been transformative for a lot of her. Like for me, that's how we got 100 conversions was like on the back of how she, and that was quite quick. So it could be worth kind of bringing her in to compare notes on like how you're running things, how we run things and see what's right for this. Yeah.

48:09 - Craig Swanson What is the closest that you have for clients? What is the closest that you have for client work? Okay. So, so do you, do you have clients that you're either getting conversions or leads in the sub $10 cost?

48:27 - Jim Huffman Man, most everybody goes for the jugular and we're selling products online. Um, we've done something where it's like building a wait list.

48:40 - Jim Huffman And usually it's like Those would be like lead or $10 like a dollar lead depending on if it's b2b or b2c But nothing right now. Honestly, everything's going for a conversion event. I could be wrong I can hit up our team because honestly, I'm out of the ad manager with client stuff For lots of reasons, but I can ask to see if there's anybody that's more relevant to what you're saying. I Can you open up the Neat Facebook account?

49:09 - Craig Swanson I assume for Neat, have you primarily been advertising over Facebook and Instagram?

49:15 - Jim Huffman We do some Google Ads, but we pause it because we're running out of sizes. And keep in mind, we're out of stock now because it's so painful. But we could look at, when were we really hauling and moving? Maybe it was here when we had the cost per person. Yeah, this is when it was kind of moving.

49:36 - Jim Huffman And because for us, if our AOV is $100, my CAC ceiling is basically $40 to $50.

49:45 - Jim Huffman And so this is what we hit when we first started.

49:47 - Craig Swanson So can I, OK, let me just, because I see this. All right. You know what? I should pull up one of mine. All right, so you spent about $2,000.

49:56 - Jim Huffman You see, if you get the badge, the scale your high performing campaign.

50:00 - Jim Huffman It will make you feel like you're a genius.

50:06 - Unidentified Speaker Smart.

50:11 - Jim Huffman Wait, sorry, what'd you want me to do?

50:13 - Craig Swanson I'm trying to think out. All right, so you, does this mean you, so what, can you show me what the revenue was off of this?

50:21 - Jim Huffman Um, I mean, we should.

50:23 - Craig Swanson Okay, so here's what I'm thinking. Why did you limit yourself to $100 a day?

50:28 - Jim Huffman Well, honestly, this performed better than we thought. We had a budget of $3,000 for the month, and I thought it was going to take 60 days to preview it at economics. This was like the minimum to spend to get learnings, but it started to work better and faster than we thought. But then we start running out of inventory, so we couldn't scale, which is why I like e-products better than real products.

50:55 - Craig Swanson And just show me the best performing ads, like just click on ads and then let's just look at the best performing.

51:03 - Unidentified Speaker And what was your targeting?

51:04 - Craig Swanson Was your targeting open?

51:06 - Craig Swanson Oh, wow, you had one ad.

51:08 - Craig Swanson So like, so it's not best. No, it's, you'll kind of see.

51:12 - Jim Huffman Oh, you did, you did dynamics.

51:14 - Craig Swanson Yeah, yeah, we did dynamics.

51:15 - Jim Huffman And this is the one that scaled was me doing the water balloon test.

51:21 - Craig Swanson Um, with, with what headline and everything else, like did the headlines matter a lot? Um, they did.

51:27 - Jim Huffman Um, and actually I've been put it here in the sold out playbook. Here's the headline, the copy that worked.

51:35 - Jim Huffman Um, wait, she wears it. Um, this is the winning copy right here. These two, um, a PhD scientist finally made a sweat proof shirt. Yes. The shirt really hides sweat. The shirt, uh, with superpowers everyone's talking about. These were like the winners.

52:09 - Craig Swanson Let me see if I can share one of my screens. Let me see if I can find something just to show you, I mean, to show you what was happening in days gone past when it was working.

52:27 - Jim Huffman All right, so I'm gonna share the desktop.

52:31 - Unidentified Speaker This is Kaiserfit.

52:45 - Craig Swanson Oh, interesting. I think we were advertising before this.

53:02 - Craig Swanson Is there a limit to how far back you can go in Facebook? I don't think so.

53:06 - Jim Huffman I wonder if they change it when like reporting changes.

53:12 - Craig Swanson All right. So, so let's just do June of 2000. Let's just do June once a one month.

53:24 - Craig Swanson And I'll even be able to tell fairly quickly. Um, So OK, so in one month, which means that this was starting to be in the slower period. Yeah.

53:58 - Craig Swanson So purchase conversion value, it's not showing any purchases, which, I mean, we might have been slow, but we weren't that slow.

54:12 - Craig Swanson There we go, there we go.

54:16 - Craig Swanson Oh, cause it's not telling at the bottom, uh, because there, there, there are different time sequences in here. Oh, gotcha.

54:22 - Jim Huffman Gotcha.

54:23 - Craig Swanson But if you look at this, so if you look at this, yeah, it's like paying for itself. Right. So, so basically, and that's kind of this, this structure. And again, like it's a little bit like showing things back from like, You know, if I could go back to, you know, to could just 2014, like, just ill, but you can kind of see like in the results, kind of like how I was kind of positioning everything.

54:53 - Jim Huffman And then.

54:56 - Craig Swanson If we look at any of these, you know, lookalike, by the way, lookalike was like we couldn't quite do open then. So basically lookalike stories. Uh, I, I GFB basically means Instagram and Facebook. So that's basically organic followers and purchase.

55:15 - Jim Huffman And you know, what were the top creatives I'm going to look.

55:22 - Unidentified Speaker I have some ideas.

55:23 - Jim Huffman I'm a little bit obsessed with what feels like really native raw content to get people's attention that I want to test. These are great.

55:32 - Craig Swanson I do a lot with just big, big words. Yes.

55:35 - Craig Swanson I love that actually. Yeah.

55:39 - Jim Huffman But I need to get you that video content. Hope you have a little bit from me doing that recording, but yeah.

55:50 - Craig Swanson So it looks like, it looks like I can't go back. Oh, you know what? You know what? Uh, wait, no, it's, um, two more ad accounts.

56:11 - Craig Swanson I mean, we were advertising before this. I really wonder why I can't go back.

56:17 - Unidentified Speaker That's frustrating.

56:18 - Craig Swanson That's really annoying.

56:21 - Craig Swanson Um, because if I could go back a year, I was, that was when I was doing about a million. And so like on a, on a given day like this, like we might've spent 120, course $120,000 of the month. And we'd be at like 120 to $150,000 in revenue tied to it. And I'm always kind of like writing this line. So I'm always writing this line to basically, I'm trying to exclude people that are already on our list. I'm just trying to acquire new people on our list. Mm-hmm. Um, and I do a lot with just basically throwing a lot of ads in there and letting it just select the winners. Yeah.

56:58 - Jim Huffman That's exactly what we do. Like through DCTs is just like letting the algorithm cook and find the best one, because that's the thing. It's like, we're just selling, like, if you're going off our core thing and it makes the setup so much easier and you let the, the learning compound without segmenting it off.

57:19 - Craig Swanson And then, oh, here, first purchase. This is where we used to make just a ton of money. First purchase, start series. So this is where I would, I mean, and this is where we're starting to lose steam, but like, oh, we just made so much money doing this.

57:36 - Craig Swanson And it was just a whole series of creative.

57:43 - Craig Swanson The start bundle is here. We did a series of, we just started playing with different creative.

57:50 - Jim Huffman Wait, what's okay? Yeah, but the unfair advantage you have that you already have this video content, right?

57:56 - Craig Swanson Yeah, well, I mean we were spending that much money. We also filmed a lot. Yeah Three program just I Mean I'm not subtle like I tend to do just a lot of big big letters big words. Yeah Sue Bryce That's the thing, I want to test that.

58:19 - Jim Huffman I want to test even the ones you did for Zebra. Zebra is like a static image saying what the lead magnet is. I want to do some that's literally like me on my iPhone pointing at my computer being like that feels very native.

58:33 - Craig Swanson Here we go. Let's go look at. Oh, that's terrible.

58:41 - Craig Swanson Let's see here, we must have.

58:43 - Craig Swanson I can go over time, just want to make sure you're good as well. I'm good. Here we go.

58:47 - Craig Swanson Okay, so here is the big sale. Oh, wow.

58:51 - Jim Huffman Let's see what worked there.

58:53 - Craig Swanson So if I throw this and that, so I'll get these two big ones.

59:04 - Craig Swanson And then just go to the ads, and we'll just look at the top purchasers.

59:14 - Craig Swanson And just kind of go through some of the creative.

59:18 - Craig Swanson Okay, so this is this is entirely organic. This was this was Sue Bryce doing her own real It really was basically it was really acting and so whenever you see this where it says IG post That is just me just basically just pushing just basically reusing just a organic post. That's awesome. Yeah Turn ideas did come this is just this is just the literally the promo trailer. Mm-hmm More promo trailers, so the promo trailers, the top ones.

59:52 - Unidentified Speaker Mm-hmm.

59:53 - Jim Huffman Just get us tonight.

59:54 - Craig Swanson I just, you know. Mm-hmm.

59:59 - Craig Swanson Just get us tonight. Yeah. Which makes sense.

1:00:01 - Jim Huffman I actually even just like the look of that, though, how it's like behind her. It's kind of funny. Oh, I love it.

1:00:06 - Craig Swanson In fact, what I remember, I did a whole series of these. Let me actually go farther down. But I'll just go with the big letters. But basically, I'm a big fan of just basically big, bold type. Yes.

1:00:26 - Unidentified Speaker Yeah.

1:00:27 - Jim Huffman The key is her photography, right? She's got killer photography. Yeah.

1:00:31 - Craig Swanson Early access discount ends.

1:00:38 - Craig Swanson Early access pricing ends Friday. A whole mouthful, but it works.

1:00:52 - Jim Huffman I did my tech bro photo shoot. I sent you some but they aren't at this level, but we can Okay, I'm just thinking of the assets we're going to need of like leveraging existing things, making things that aren't imagery or photography, and then like what imagery.

1:01:10 - Craig Swanson Honestly, from what I'm seeing, from what I'm seeing. So, I mean, this might get, might be cliche, but I would, first of all, just start with, I would start with all those graphs, graphics you've got in the, um, I don't remember the name of the, the Sigma, the, the, whatever that, that presentation itself, Figma in Figma. Okay. Yeah.

1:01:34 - Craig Swanson And probably throw a free PDF bug on top of it and then just play, basically just play with the words in there just as big words and just see which one of those start to click. And so one of those may click and then where they click or they don't click, then I might start to bring in photos of you and try to use the same words.

1:01:55 - Unidentified Speaker Yeah.

1:02:03 - Jim Huffman Do you want to look at those offers and tell me the ones that you would want to test and then I can have our designer add in the like free pdf on the ones we want.

1:02:15 - Craig Swanson I don't I so that's what I'm gonna ask you like I think what I would probably do I don't mind. Okay. So you're used to, you are used to treating leads as valuable. Like you don't want to waste $110, you know, 10, 100 $120, um, on a bad PDF. But for me, what I'd probably do is I'd probably take 12 of those graphics, bundle them together into a PDF. So you've got a 12 page PDF. Mm. And that way I can basically test all 12 graphics. It's a little bit of a mislead. The thing that you are going to, the thing that they're gonna get as a PDF is going to be related to the thing they asked for.

1:03:03 - Craig Swanson And then if we get very few click-throughs on those, basically I wouldn't start building out the PDFs until I've got some sense of which of those offers are starting to appeal to people.

1:03:12 - Jim Huffman So what do we say it's like, because if we start testing this and we don't have the deliverable to give them, do we have to say like it's coming soon? Oh, we would.

1:03:20 - Craig Swanson We will. So first of all, I was going to ask your opinion on that. I mean, one, one thing is just to send them an email and say, well, I mean, like, so, so there is like, there is like, one thing is you just don't have the deliverable. I mean, like, I don't do that very often, but like one thing is to not have the deliverable. What I'd probably do is I'd probably create a deliverable. Yeah.

1:03:42 - Jim Huffman which is not my idealized deliverable. Yeah, but it's like a catch all for what we want to test exactly.

1:03:49 - Craig Swanson So basically so I might do a little bit of like adjusting of what I'm promising, but basically like the download page might say get a PDF of my of my 12 favorite frameworks or something like that. And then you get a 12 page PDF with all the different frameworks. Yeah, and effectively each of those 12 is one of the ads that we're testing.

1:04:10 - Unidentified Speaker Yeah.

1:04:13 - Craig Swanson I'm curious, how much hands-on are you in all this? So this is both a weakness and a strength, depending on where I am. I was realizing a lot of this stuff I do, when I am in these early phases of trying to figure it out, I was the one creating all that type around Sue. There's a lot of basically me just kind of like, I don't know enough to be able to hand it over to someone yet.

1:04:37 - Jim Huffman Yeah that's like even like with our neat ads like I wrote all the copy like I was the freaking model like just kind of like and again we had like these that I actually thought this one was going to do better like our creative director from this one out we had this one made that didn't perform by someone else this was by someone on our team. But it's kind of both, but I get pretty on the copy and the position. I get pretty into the weeds on it.

1:05:07 - Craig Swanson So when you're doing this, when you're doing this, are you doing the video? You're not filming the video, but are you editing the video? Um, we already had this video.

1:05:17 - Jim Huffman Uh, we sped it up and made some tweaks to it, but when we bought part of the company and they had this, we sped it up.

1:05:24 - Craig Swanson Did you speed it up? Oh, no, no. I don't edit videos.

1:05:26 - Craig Swanson I don't work in, in Figma. What I do though, I do copywriting and I'll do like storyboarding of like, this is what I want at frame one, two, three, four, and like scripting it out. But then someone else does it.

1:05:41 - Craig Swanson For both better and for worse, depending on the need, like I'm right in there. So basically most of the ads I showed you, you made all of it. Well, I'll say for the ones for Kaiser fit, by the time we were at that stage, we had a designer and like, we had this rhythm, we had an understanding of what was working and they were kind of going from there. But for like Sue Bryce, when I was like at early stages, I was literally like looking through, following hints and ideas and like putting it together. Yeah.

1:06:05 - Jim Huffman Yeah. And maybe that's what's necessary in the early days for us. So I'd be in there. Cause I, I can tap into my team. I just have to give them a little bit of a headstart. So, cause it's like, obviously the client works the highest priority, but I can definitely do that. But I'm even thinking through, cause the other thing I'm asking them is like, give me templates where I can get into Figma and I can like edit copy and stuff. And that's some, some things that we're, we're working through. Um, All right.

1:06:32 - Craig Swanson So if we were going to do some testing, if we were going to do some testing on this, I'd wanna get to a place where we have a Facebook account that we can start pushing the stuff out on. Probably it makes sense to do it under the growth hit identity. And that doesn't feel like it's hitting a lot of I don't know, like, like, is that, is that going to run across other stuff you're working on for the, for the growth hit identity?

1:07:20 - Jim Huffman All I'm not, let me think out loud out here. Really. I wanted to do remarketing for these leads that come in was the main focus of why we were doing it just to hit them again. Um, and again, again, again. Um, but we, we aren't, we're, we're gonna, we're about to be doing more top of the funnel ads. Like you kind of saw those ones just have like lead magnets, but, um, There's a little bit of overlap there, but maybe there's a way to work to have it. Well, shoot, but then it's like the pixel. We could have one campaign we do optimize for something and then ours can be optimized for what we're doing. So maybe.

1:08:02 - Craig Swanson I mean, the other thing we could do is we could set up a new ad account. We could set up a new ad account. Yeah. So the ad account has all those pixels, everything we're doing. Um, and then you could make that ad account, you get that ad account rights to basically create ads and basically run things on your Facebook and Instagram profile.

1:08:23 - Unidentified Speaker Yeah.

1:08:25 - Craig Swanson So then, so then the ad account that we create, we'll have its own credit card. Um, yeah.

1:08:36 - Jim Huffman Yeah, maybe we do need to do it separate just to keep it cleaner. Cause I'm all about like default to simplicity and speed. And like my initial was like, let's just go with the existing account. But I'm also like, let's set this up the right way for the big picture. And maybe it is separate.

1:08:53 - Craig Swanson How in the weeds are you on Facebook ad accounts? Like the current stuff for Facebook ad accounts?

1:09:00 - Jim Huffman I've removed myself with Nina. I've kind of gone a little bit back in more so for reporting, but I'm not doing any of the setup and that's very much intentional. Cause like for a while I was way too in it. So I'm like, they, they like removed me for a while. It's like, I've got to get out. But, but I can have a team member get in there and potentially like help with things. I know you're very much in it. So, but yeah, I'm, I'm pretty out of it.

1:09:27 - Craig Swanson I mean, I, I get pleasure out of it. And so I get a little bit confused sometimes, but I think at the stage we're talking about, like where we are actively right now, like we're not at a scaling conversation. So I don't think, so here's the problem. I enjoy it so much that there are times I should pull myself out of it and I don't. I don't think this is one of those times.

1:09:56 - Jim Huffman I don't think like you, like I'm thinking I need to be very in the weeds on the creative strategy for copy ads and positioning. Um, and I'm happy to like film things, write things. I have some limitations on design, obviously, but maybe you can help or my team could help. And if you're able to pull the levers on the ad manager, I'm also happy to like tap into our team, however we want, but maybe for now it's like, that we do those two categories. But so yeah, I'm just kind of thinking out loud on.

1:10:27 - Jim Huffman I think the other thing I need is I need a web page that we can put it on. So I think we talked about using growth hit playbook dot com.

1:10:35 - Unidentified Speaker I think that's right, yeah.

1:10:36 - Jim Huffman I'm glad we didn't, yeah, because we were also, we're going to buy something very expensive. Okay, I need Facebook. So, well, hold on, sorry, just put a pin on like, so a new Growth Hit Facebook page and account, right?

1:10:55 - Craig Swanson So I did register growthhitplaybook.com. Okay. And I think you own growthplaybook.com, don't you? Do I? What, what, what is your, what is your current thing at your current book at the growth marketers playbook?

1:11:12 - Jim Huffman Oh, yeah.

1:11:36 - Craig Swanson Here are the basics of what we need. We need a domain. Which we could use growth hit playbook. Part of that is like leaning into the growth hit name for the moment because you've got some brand equity there. And I do feel like, I do feel like for this topic, we need to have expertise that we can claim. So I think growth hit for better. I think growth hit can be that equity.

1:12:02 - Unidentified Speaker Yeah. Okay.

1:12:04 - Craig Swanson And, and then where you have to watch it is, are we eroding that equity? And I, you know, to some degree, I have to, you have to, you have to advocate for that.

1:12:16 - Unidentified Speaker Yeah.

1:12:17 - Jim Huffman I mean, I'm not going to purposefully, but I don't know. I'm not, maybe I should be more worried about it. Um, but, um, no, I think, I think we're good because it's, it's all connected. So yeah, I'm, I'm fine. I don't think I'm not worried about that risk because I'm controlling the content. Right.

1:12:43 - Craig Swanson We'll get to there. Ideally, I'm going to have a little bit of latitude. We'll figure it out. Basically, what I try to do is earn trust early on to run a bunch of things, but at some point when I feel like I've started to understand the voice, hopefully I'm not running everything by you every stage, but we also figure that out as we go.

1:13:07 - Jim Huffman Yeah, and that's it's all gonna be derived from stuff that I've done and also I've already done so many cringe things in the world.

1:13:12 - Craig Swanson It's like Also, I'm probably I mean, I'll be curious definitely if your face is on it changes things a little bit. So So I am a sue Yeah I mean, it's usually like a couple phrases. So basically, it's usually just like a whole bunch of headlines that are just remade. Like my favorite way to write body copy is just to reuse a bunch of headlines that were good. Yeah, absolutely. Those headlines become sentences and it doesn't have to be like, it's not a college essay. It doesn't have to go from point A to point B.

1:13:44 - Jim Huffman Get their attention, yeah.

1:13:48 - Craig Swanson Um, okay. So I kind of want to do that now. I want to do like, just like, like a thousand characters of just headline copies. Like wherever you enter is like a place and just see if that big block of copy would get anything.

1:14:03 - Jim Huffman Just do it, just headlines everywhere. It's how people read, I feel like, So we need a website, domain, growth hit, playbook.com. We need a Facebook page, an ad account. So who's owning what? How can I help and be supportive? What do I need to set up?

1:14:21 - Craig Swanson Well, I think I could spin up an ad. So I've got an ad account that I could use. Awesome. Can I take a really quick bio break and compare? Yeah, of course. Go for it.

1:14:28 - Jim Huffman We've got to respond to the Slack anyway.

1:14:32 - Unidentified Speaker Bye.

1:16:19 - Unidentified Speaker All right, I'm back.

1:16:20 - Craig Swanson Perfect.

1:16:21 - Jim Huffman I was able to respond to that thing. So awesome.

1:16:26 - Jim Huffman So I'm just going to share my screen again.

1:16:28 - Craig Swanson I mean, if I were doing this. I'm kind of getting to the place where I can't have too many ad accounts open at one time, but let me just go to my ad accounts.

1:16:40 - Craig Swanson This is where I think I might not be setting them up properly for the type of business I'm in. If I go to Incubator TV.

1:16:50 - Craig Swanson One, two, three, four. So I've got four.

1:16:56 - Craig Swanson that actually could be closed out. So what I might do, I think I was running into this issue where I couldn't create many more ad accounts before it's gonna shut me off. I don't know what the maximum number of ad accounts you can have on an identity are.

1:17:08 - Craig Swanson Yeah, other than having like an agency account or whatever, I feel like- Exactly. I feel like my personal though, I've had so many on there.

1:17:18 - Craig Swanson So I'd probably basically just create a ad account for us. I mean, seriously, we could put it on mine or we put it on yours, but basically put it somewhere. The ad account itself is part of a larger, you know, so serious. So there's, what are there? There's ad accounts and then they're inside of what? They're inside of, what are these things called? Business. So they're inside of businesses.

1:17:43 - Jim Huffman Yeah, so we have to connect it to the right page, right? Exactly.

1:17:47 - Craig Swanson And then whatever ad account that is, we would need to give access to the page that, Um, and then I'd probably want you to make me an admin editor, whatever level of access is appropriate for the, uh, uh, for the growth hit account, because it feels like just kind of like sort through and I can do that.

1:18:12 - Jim Huffman Um, that action item. Yeah. And then you'll probably need me. We would need just to make those profiles look decent on Facebook and Instagram for this new account. Is that correct? Are we connecting it to the existing group? We are connecting it to the existing account.

1:18:29 - Craig Swanson So, so think of growth hit as the influencer. Gotcha.

1:18:33 - Jim Huffman So have you ever done influencer marketing? Oh, as far as like posting under their influencer account? Yeah, yeah, yeah.

1:18:42 - Craig Swanson So effectively, yeah, you would grant access to our ad account to, so you're gonna give me access to GrowthHit so I can just kind of dig around and see what the ads are. Perfect, yeah. But then separately, we're gonna grant access to GrowthHit Facebook page and Instagram page to this ad account that we create. Perfect, okay, we're aligned. Yeah, which means that to the outside world, you know, it will be appearing on as, as from growth hit. That's awesome. Okay.

1:19:09 - Unidentified Speaker Perfect.

1:19:11 - Craig Swanson Um, but then we can have it go to our credit card. We can have it like connect to our pixel. Um, you know, we can have a sync with our Klaviyo account or anything else that's doing the email capture. Yeah.

1:19:23 - Jim Huffman Um, tight. Got it. Mm.

1:19:29 - Craig Swanson If we end up doing, if this becomes a really aggressive and growing info thing, there are limits to what you can do.

1:19:41 - Craig Swanson But there are problems that show up that sometimes I know how to solve, sometimes I don't know how to solve. And you've got a lot of assets in your company with knowledge, and also these problems basically don't exist unless there's some level of success. Yeah, no, absolutely.

1:20:01 - Jim Huffman And happy to tap into those resources whenever we need them.

1:20:10 - Jim Huffman So that's on the Facebook side, you're setting up the account, and then I will get you access to our growth hit. And then when it's ready, I can grant access to our page. So yeah, yeah.

1:20:24 - Craig Swanson And then what I think I'd be inclined to do is basically go through your Figma, basically pull those assets. So you're going to have a whole bunch of square graphics that, for me, I think are worth testing. When I look at this, and also I think maybe one of the differences is, I'm just trying to think here.

1:20:53 - Craig Swanson I mean, when I'm selling information, showing information works.

1:20:58 - Unidentified Speaker Yeah.

1:20:59 - Jim Huffman I love that way you put that because I agree when you can see the like bundle or package that you get, you're like, Oh, I want that. Yeah.

1:21:06 - Craig Swanson So if I'm, if I'm, if I'm still sharing the screen, if I go to Sue Bryce and I just go to, uh, this month, am I still sharing the screen? Yeah. Um, and I go to amount spent.

1:21:38 - Craig Swanson And I just look at like the amount spent.

1:21:46 - Craig Swanson There's the time place that was that high producing thing. And then this was literally just her putting her image in front of a video, which just has the, save this bouncing up and down.

1:21:59 - Unidentified Speaker So.

1:21:59 - Craig Swanson Oh, let's see here. I've got some other things selected. So I need to deselect, reselect.

1:22:10 - Craig Swanson you know, write your three by three brand bio free PDF. That's the free.

1:22:14 - Jim Huffman Okay. Gotcha. Gotcha. Yeah.

1:22:16 - Jim Huffman So when I look at your, when I look at your Figma lists, like for me going back, I'm going to take a screenshot of that just so I can get it to my designer.

1:22:23 - Jim Huffman Hold it for one second.

1:22:27 - Jim Huffman And by the way, that's just the cover of the PDF.

1:22:30 - Unidentified Speaker Yes.

1:22:32 - Craig Swanson And then the only other thing I've gotten there that I'd probably look at doing with your Figma is Let's take a look, Instagram feed.

1:22:50 - Craig Swanson There we go. Oh, I don't, I guess that's not one of these. Some of these I've got longer versions. So I would, I would go to see if I can get great like tall versions of some of those ads. Yeah.

1:23:04 - Unidentified Speaker Yeah.

1:23:07 - Jim Huffman Okay, so I'm putting an action item to get all of my assets with free PDF to you. I'm also putting an action item, I wanna come up with some ad ideas just to give to you as well to test. So I'm gonna make some creative as well, just so we're overflowing and creative to test.

1:23:31 - Craig Swanson And in terms of me, just so you know, I love that, I love that. The more I can get just like you teaching the stuff. So that's actually where all these recordings of all the education stuff come from, because that's where most of my creative comes from these days. It was never started as creative. It was started as educational content, and then I'll do different pulls on it.

1:23:55 - Jim Huffman Yeah, yeah, gotcha.

1:23:58 - Jim Huffman So yeah, and you need raw video photos of me teaching.

1:24:07 - Jim Huffman which the EO workshop will be good, but obviously that's not until August.

1:24:22 - Jim Huffman And then, Okay, so that that's on the asset side of things. So we got make Facebook ad account get all that set up tracking going to his assets You're gonna work on some I'll get that the figma file. I'm gonna make some assets Let me figure about getting maybe I can fake teach and get some like video content. I And then making a lead magnet. There's kind of two thoughts there. One is we could easily make that download of like my 12 favorite growth frameworks. I can also make a download, the how to, why isn't your company growing on what that could look like, And it could just be a one page checklist. Like how fancy do we want that to be? So something to think about.

1:25:11 - Craig Swanson I tend to not make things fancy at the start.

1:25:17 - Craig Swanson But also attractive. I mean, it's so attractive and well-written. So I don't know. So I would say, here's the first thing. That basically answers the question, why is my company growing? Front page can effectively be, yeah, so it could be like a four or five page thing. And it basically is your current, like flowchart of the three paths and it's just a one page on each of those that's got maybe 500 or 600 characters a copy on each page.

1:25:50 - Jim Huffman I can make that in a Google slide and then PDF it and make it look good enough. Great.

1:25:55 - Craig Swanson Okay, I'm on it. Then I think what I would do is we'll see what type of activity there is on that. If we get a hit on it, then probably convert that lead magnet into the first hour of your workshop, which is basically how to see if you can, your company can grow, which, which is effectively an online webinar for converting people to be purchasers of the class.

1:26:28 - Jim Huffman And Do you want me to also make a second League Magnet that's our 12 favorite growth frameworks, or should we not do that yet and just start with the first one? I think I could almost do that.

1:26:38 - Craig Swanson I'M literally thinking of that as just being a square PDF with 12 of your things from the Figma. I'm not thinking it's all that involved, except maybe throwing some copy on there to describe them. Cool.

1:26:53 - Jim Huffman So you'll make that. I'll make the first one, and then what about website as far as the growth hit playbook as far as because there's lots of things we can do it's like you have this awesome template should we just leverage that we have designers that could help at a certain like whenever but I'm also thinking through speed but what are your thoughts there We need something on the front page, and generally what I've done for the front page is I've either

1:27:32 - Craig Swanson used photography or video that basically holds the page and lets me have a fairly simple message on it.

1:27:42 - Craig Swanson I don't feel like we've got...

1:27:47 - Craig Swanson How many good photos do you have of you like you're teaching a webinar? Like there's kind of this Jim looking into the webinar camera look that's becoming kind of known.

1:27:59 - Jim Huffman Yeah, crap, I sent something with a bunch of assets. Let me grab that. I don't, I wanted to look at that real quick to see if that's any good. Where the heck am I? Here we go. Where are we?

1:28:15 - Craig Swanson Are we just in like a little nook in your house on the first floor? We're at the bottom.

1:28:19 - Jim Huffman So upstairs is like living room, bedrooms, kitchen. And then you walk down these stairs and then we have this downstairs with like, bedrooms and then yeah it's kind of like an open den area that's my office which is awesome when no one's here which is usually most the case but when people are here they're probably annoyed because I'm too loud where the heck are those I will find them um this is it aha found them okay so we have this And I don't know if these are gonna be good enough but Jim image assets of Tech bro Jim Here here here. Here's me teaching. They're just images There's like a sizzle reel type of thing you could do and so there's those and then These are all like webinars is the problem of me talking, which is good or bad.

1:29:31 - Craig Swanson Oh, hey, is that Jim talking on podcast? But I see EO people in there.

1:29:37 - Jim Huffman Yeah, Don and Adam, after we went to the tiny headquarters in Victoria, met the Andrew Wilkinson. We did a podcast on it. Oh, cool.

1:29:48 - Unidentified Speaker So that was fun.

1:29:49 - Jim Huffman So yeah, so that's kind of what we have.

1:29:55 - Jim Huffman But you can tell me if we need more and then, and yeah, I'm happy to put in some effort here.

1:30:14 - Craig Swanson You think about it, I'm thinking it doesn't want to look like a headshot. Yeah.

1:30:23 - Craig Swanson I mean, actually, here's the thing. I know it's in my head, but actually, I don't really know how easy or hard that is execution-wise.

1:30:32 - Jim Huffman Wait, what's the one where it's like, can you show me an example of what you're talking about of looking into the webinar? What'd you say? Because I think I know what you're talking about. Like literally here.

1:30:44 - Craig Swanson So get yourself centered. And then basically be making eye contact with the camera. You don't have a camera, you just have, I mean, it is a webcam. It's a webcam, yeah.

1:30:57 - Unidentified Speaker Yeah.

1:30:59 - Craig Swanson See, I think that, I think that if you were just like looking at the camera, trying to think here, I'm just trying to think like, Because this would work for your pitch. So if and when we have it down to where basically you are pitching an idea, your little 60 second topic on what this thing is, this totally works. And the expression you have right now, I don't know, I might just try playing with that. I'm going to record on this computer.

1:31:54 - Craig Swanson And I think, I don't know, there's something, there's something about this energy that will stop a scroll for people because it looks like you're about to say something. Oh, interesting.

1:32:05 - Jim Huffman Yeah. And you know, the text behind it or something that's, you know, I don't know if you need a text behind it.

