==== Start of Transcript: Deep Dive 12 - Awareness ====

Nikki Closser | Hi, everyone. Welcome back to the deep dives. We are on awareness this week, Sue. How are you?
Sue Bryce | Is coming to acceptance of everything you are in the moment that you come to a witness and decide that if it's not other people and it's you, then it hurts. And I just wanna say it. It hurts. It's where people tell me they have to do the most amount of work. And remember, it's not Just saying that it's you is the most freeing thing that you will experience, and you're okay.

Sue Bryce | You're still perfect. You're still amazing. You're still an incredible human being. You've just been doing some dumb stuff. It's not who you are.

Sue Bryce | It's just something you do. Like, your avoidance. It's not who you are. It's something you do. And you do it to originally so that you feel good.

Sue Bryce | So there was always a love at the base of that coming to a awareness of what you're saying, what you're saying, what you're being, can be hurtful, at first, but I want you to know that every horrible, scary thing that you hide. Every dark thing that you hide, I've done it. I've seen it. I've done it. I've been it.

Sue Bryce | And I'm okay. I have stolen things as a kid. I've done bad things. I have experience self correcting guilt over bad behavior, over drama behavior, over gossiping about people, I've been caught gossiping about people. I've done horrible things in my life.

Sue Bryce | I've lived through horrible patterns that sustained me and saved me in my darkest moments. I have been a bad person in areas of my life. Mostly to myself more than anybody, and I'm forgivable. I'm okay. Like, I'm good.

Nikki Closser | I'm

Sue Bryce | a good person. And you've gotta remember that whatever you're uncovering about what you don't like, you're simply accepting that and bringing it to the light. Good that you can really love who you are.

Nikki Closser | It makes me think, Sue, of, like, when I'm talking with my kids and they do something, you know, a behavior that is just not okay. I talk about the behavior. It's not them. It's it's what they've done that was wrong or bad or whatever has nothing to do. They're not bad.

Nikki Closser | It's almost like we need to remind ourselves of of that.

Sue Bryce | That is. Also, why did you choose to do that? Like, what was going on that you needed to do that? And just so I know that it's something I went here because I wanted your attention or I went here because I needed

Nikki Closser | what need was being.

Sue Bryce | Yeah. What needs that that there for you to do it. But also, like, anything that's correcting my children they're learning for the first time what's socially acceptable and what's not, because all three year olds are narcissists. Yeah. They really are.

Sue Bryce | I mean, it's, I'm hungry. I'm cold. I need to sleep. I'm having a tantrum. You know, like, they pretty much dictate wherever you are because they're just in their feelings.

Sue Bryce | Like, they're just completely in their emotions. But as they start to, you know, between that that age of two and seven, when you're just constantly in them right and wrong, you know, you've, yeah, you do have to be careful about what right and wrong, because right and wrong comes with good and bad. Mhmm. And if they know I'm a good child and this happens and I'm a bad child, then it's a good bad thing, and it's and it grows up to be a good bad adult. And, you know, you say it too, like, oh, I'm I'm bad because I'm eating this way in front of your kids or my body is bad, and you don't accept your body.

Sue Bryce | You're saying my body is bad. And they're just constantly seeing this good bad. And, yeah, there is good behavior, and there is bad behavior. And I know that you're not supposed to reward good behavior, because it's constantly saying good and bad. So to me, I feel like you're teaching them what's right and wrong, but at this same time you've teaching them how to self regulate their own behavior in a way that they feel good about themselves when they apologize for something, Not apologizing because they were told they should apologize because that's a bad thing to do, but, you know, I didn't want this person to feel that way.

Sue Bryce | Yes. I feel bad about that. You know, you're kind of teaching them what is acceptable and what is not. It's a slippery slope, isn't it? We're not.

Sue Bryce | There's no manual for children. You only, I mean, you can read a whole lot of psychology books and I know there's some incredible parenting ones out there.

Nikki Closser | Yeah. I mean, you know, we have a master's in social work. I was a school social worker. I wrote behavior plans, and then I have my own kids, and it's like it all And, like, what am I supposed to do again? You know, like, it seems so much easier.

Nikki Closser | Yeah. When I was telling other parents what to do.

Sue Bryce | Dre was, like, eighteen months old and I don't remember. They they went little. Both were little, and you were like, you know, I could have written a plan for both of them. I know how to do that. And I'm like, yeah.

Sue Bryce | I don't know.

Nikki Closser | It's crazy.

Sue Bryce | Gonna work when it's not your child, but, I feel like You know, the shame we put on children is the biggest one. When your children do a behavior that is specifically shameful to you. Like, you're out in public. They do something or say something shameful or hurtful to someone else. Your reaction is in shame.

Sue Bryce | That's the hardest one, right? Because you'll throw shame in that moment that is not theirs. It's shameful their behavior. So you almost have to come to a awareness of what their behavior is and how you're processing the behavior. Like, are you saying it's right or wrong?

Sue Bryce | Good and bad? Or because you were like, that is bad behavior, and you shouldn't do it. Like, you'll now correct yourself and go, oops, I can't say that because it's it's upset me, the mirror is I'm upset that they did this behavior because it made me look bad.

Nikki Closser | Right.

Sue Bryce | Right. You know, you can put that on your children way faster, I think, then you can actually teach them good and bad in what's right or wrong, is responding emotionally yourself and becoming aware that what you're saying to them is actually your emotional self talking.

Nikki Closser | Mhmm.

Sue Bryce | You know, your child embarrasses you or says something terrible, your instant reaction is to feel shame to yourself and then respond to your child in a way that you just put me in a situation where I felt shame.

Nikki Closser | Right.

Sue Bryce | And feeling shame is the closest thing you can feel to rejection. So you literally were about to be rejected socially, because of something your child did, and you're not gonna process that well. Who is? So you're gonna put a whole lot of shame on this kid. And this kid's gonna grow up thinking, alright, I know what shame feels like.

Sue Bryce | How many times did your parents or social curators or adults and ran you through shame on you for something that they were so ashamed of in themselves, and you wore that carried that for life. So as you are processing awareness, come to awareness every day that often the story you keep looking for is not yours. Remember, you inherited that. It's through a filter of your past, find out what the story is, bring it to the light. It's okay.

Sue Bryce | I think of that big blue monster in monster, zinc.

Nikki Closser | Mhmm.

Sue Bryce | He's super big and scary, and you drag him out. But when you do, he's just a beautiful big soft cuddly monster. And you're the one hiding him. If you don't think that monster's shameful anymore, And he's not shameful anymore. And whatever the closet of shame that we carry is is I truly know that no matter what you've done in your life, you can forgive yourself and you can bring the shame to a light where other people will show you that's nothing to be ashamed of.

Sue Bryce | You've got this. A big

Nikki Closser | way to sum that up.

Sue Bryce | So how about number 1 awareness comes down to every single day? I am becoming aware of my thoughts in the car because my feelings are the three year old that's responding to my thoughts. So let's just focus on my thoughts first.

Nikki Closser | Sounds good. It's a plan. Awesome. We'll see you next time.


==== End of Transcript: Deep Dive 12 - Awareness ====
