Zoom Meeting 
Tue, Jul 30, 2024

0:03 - Craig Swanson Boom Hello, sir.
43:26 - Craig Swanson Yeah, I mean, you know, it's the thing is, but yes, exactly that, exactly that. And like the recording for LinkedIn, like this is what we were doing with Creative Live for years is like, we were always trying to get the acoustic set. Like you'd always have this. So the thing is, like my guess is, my guess is one of the things about you as a human being that's engaging is you kind of exude an enjoyment of people and of life. And you smile genuinely and you laugh. And my guess is none of that shows up in your LinkedIn learning.

43:59 - Jim Huffman Yeah, that's why it's better like riffing or in person, right? Because you can have that back and forth. But let me try and bottle up some of that where it doesn't look like a horrible actor.

44:15 - Craig Swanson And I would just say the other thing you can do is you could also do a zoom call. You could, you could record zoom or you could like, but you could also say, Hey, it could be to your wife, to someone else, just like pitch them instead of pitching a camera that is not you.

44:28 - Jim Huffman Yeah.

44:30 - Jim Huffman Cool.

44:31 - Jim Huffman All right, cool. I'll crank on it. But yeah, I think this is fun to get the learnings on what the offer should be. And I think these are some good short term or just as far as what we're going after. I mean, let me rattle in my head even more around offers because it's something I think about a lot.

44:53 - Craig Swanson Let me show you my Facebook stuff. So part of this is like, I love starting out and seeing what you're doing with t-shirts. We are, for civil rights education, we are going to the next step.

45:04 - Jim Huffman So Oh, nice. So you've got the customer acquisition machine working?

45:10 - Craig Swanson Well, I mean, it is working-ish. So let me throw this in here. All right. So this is for today. So today we have a purchase conversion value of 335, and we spent 621. So we're not ROAS positive today at this stage. But there is enough coming around. We're getting like half of it covered. Yeah, yeah. Also, you notice I bumped up my budget to a thousand. I saw that that's exciting Because we are like this is part of what we're getting to us if I go back to like the last two weeks Yeah, I mean so we're we're running a little bit below 50% conversion like a little bit low as 0.5 But we're getting like 84 purchases like like the system is flowing.

46:00 - Jim Huffman Yeah.

46:00 - Craig Swanson Yeah and The reason I bumped up to 1,000 is because we are launching our next workshop September 10th and 11th. This is being announced on Thursday. So this is not out there. So basically, with this coming, I now have a reason for all those emails.

46:30 - Jim Huffman Nice. Yeah. So you want to ramp up the email list and then start activating. I mean, this I'm so I love seeing this playbook in action. This fires me up for what we can do if we can crack the code on the offer, which we will.

46:42 - Craig Swanson Exactly. And Sue, like, you know, Sue, it's a mixed bag, but like in terms of like talking to camera, she's been doing it for so long that she does feel pretty human when she's doing it. And she's good.

46:54 - Jim Huffman I watch some of her stuff. She's very engaging. Yeah.

46:57 - Craig Swanson And we also still try to get a live audience in front of whenever it's possible, because she shows up more human. Like, she still doesn't laugh. She still doesn't smile. She still doesn't look like she is enjoying talking to a human being, unless there's human beings there.

47:09 - Jim Huffman Yes, that makes sense.

47:10 - Unidentified Speaker Yeah.

47:12 - Craig Swanson But we are up to... Oh, this is us. Let me switch.

47:34 - Craig Swanson So we are up to 16,000 emails for reference. I think like when I first showed it to you, we were at 8,000 and we are right now at the stage where we are doing a like So we're adding about 400 emails per day. And so what's happening right now is like, so I have, I am bumping up, I am bumping up the amount we're spending. And right now we're doing $1,000 a day Can I see the ad that's working yeah, so here I'm gonna go ahead and First of all, just in terms of like who we're targeting. We're targeting worldwide.

48:12 - Jim Huffman Oh, wow. How much are us versus non us?

48:16 - Craig Swanson Um, you know what? I'm not actually running those anymore. So now I've just switched over. I'm now just doing worldwide.

48:20 - Jim Huffman Okay, um Worldwide, but I mean like of the worldwide how many are in US first like India Oh, well, so first of all, it's not really worldwide.

48:32 - Craig Swanson So the first thing I'll show you is, let's see if I can just edit this.

48:40 - Craig Swanson I'm going to discard the draft, but I'll just show you my shorthand on how I do this. Let me think about this, how I can do this. I basically do select all countries, and then regions, I unselect emerging markets.

49:00 - Jim Huffman Gotcha.

49:01 - Craig Swanson So that takes out India and all these others. That's my shorthand version. A friend of mine calls it the racist marketing button. For sure. Basically, just unselect all of these countries that if a racist were going to unselect them, that's what they would do.

49:22 - Jim Huffman My only concern is like that $300 product how that looks to certain international demos and maybe that's a better conversion I know CPMs are better. But um, but anyway, I think this is very interesting.

49:35 - Craig Swanson Well, and part of it is we're optimizing for sales.

49:38 - Jim Huffman Yeah. Yeah.

49:39 - Craig Swanson And so, and also within any country, like I'm, so just from experience of like selling soup rice, there's a bunch of things that have to happen. They have to use credit cards, which not all countries do. They have to be willing to pay in United States dollars. That price point has to be in alignment with what they do. And in practice, if we go to breakdown and we go breakdown by geography, And I focus on, let's go look at purchases.

50:15 - Craig Swanson You know, not United States is getting about half United Kingdom. I mean, so if you just look at where the conversions are, you know, it's going to be that standard set. And if we look at where the money is going, uh, amount spent.

50:30 - Jim Huffman Okay.

50:31 - Craig Swanson You know, United States, Australia, Canada, UK. Yeah, exactly where I would have targeted. I probably would have put New Zealand and I like the standards for me are always, you know, United, you know, United States, Australia, Canada, UK, and then I don't know about Italy and all that. But you also notice I'm not spending a bunch of money on on India or like India is not even in here.

50:55 - Unidentified Speaker Yeah.

50:56 - Jim Huffman Ivory Coast. Yeah. OK. Very cool.

50:59 - Craig Swanson Yep. Um, and then within this, the one thing I did do is I'm doing the exclude list. So I'm excluding anyone's already on my marketing list because what was happening is we were really getting, we were getting a high frequency hit, uh, because effectively, um, when you just let Facebook just kind of like market, It's basically it's just doing a lot of remarketing. And so I, I set this so that, um, we're only using a portion of the budget for the Facebook wide open stuff. And then basically everything else is going, we're excluding people we've already got.

51:34 - Jim Huffman Yeah. New customer acquisition. Okay. Nice. And then what's the creative for new customer acquisition?

51:39 - Craig Swanson Let's go take a look.

51:45 - Craig Swanson And, uh, let's, let's, let's sort by leads.

51:49 - Jim Huffman Wow, it's just that still is the top, that's amazing. Well, I guess the second one is a video. Let's see. Oh, yeah, the video drew, wait, let's see which one drew volume. Okay, but still did, wow.

52:03 - Craig Swanson Which I kind of love, actually, if you look at it, that is, so there are three giveaways are the eight ways creators make money, the time plates, and then the three by three. And if you look at it, I mean, that's kind of like just the repeating pattern we've got for this.

52:18 - Jim Huffman Well, will you hit preview I want to take a look at that a1 again Wow Take a screenshot Okay, nice I Mean what you know, it seems to be working.

52:37 - Craig Swanson I mean like it's got nice type free PDF. It's got a lot of engagement So we also did a lot of engagement The one thing that I've been doing a lot of in here. You know what? We're going to, we're going to, that is someone.

53:08 - Craig Swanson You know what, that is, I'm going to check with Sue and make sure that's not true. That feels like someone that is like, I'm going to block them. Um, yeah.

53:21 - Jim Huffman Oh, wow. What a, what a move right there. She got two likes on it.

53:25 - Craig Swanson Yep.

53:28 - Craig Swanson So I'm going to go through, I need to go through and like, just do a little bit of cleanup on the commentary. Um, but I also like, even when there's complaints, the ones that get a lot of engagement also tend to do better.

53:38 - Jim Huffman I know, right? That's funny.

53:43 - Craig Swanson And yeah, so that's where we are. So my goal, my goal for this for September. Well, no, not goal. My aspirational, my aspirational target or dream or thing is basically I'd like to break a half million dollars in sales on this September with $200,000 spent on Facebook ad. So effectively, I want to Um, I'd like to have a hundred thou I'd like to get to a hundred thousand people, email list, half million dollar top line, $200,000 spent on advertising. Yeah.

54:19 - Craig Swanson Um, I don't know if that's realistically realistic or not, but, um, uh, but that's, that's a goal.

54:26 - Jim Huffman Yeah. You've done it before. I like that. Um, you're making some money off of the lead magnet essentially. And then like all leading up to that big event, which I think you're kind of showing the path forward. And then for the stuff we're working on, it's like how we can do that. Cause that, that's the playbook.

54:42 - Craig Swanson Exactly. And I think the trick here is, like, we're still, you and I are still in, like, barely in phase one. Like, we are trying to find the things that people will click on and get to us. And then we'll craft around, like, the people like that. So, and then let me just show you the one other thing. This is the email that's going out on Thursday. So the email that goes out Thursday is this.

55:14 - Craig Swanson And it is relatively straightforward, focused on basically the event. Click through, you get that. And then we've got days. And from my experience, what I want to start doing is I basically, if I were spending $10,000 a day for the next 40 days, basically I'm going to keep ramping up as much as I can. Yeah, and now that this is in play I'm gonna be really pushing probably I'm not gonna go much above a thousand until I'm real as positive but The way I always describe it is there's a static electricity built up. Is a 41 really terrible countdown clock for immediate purchase. But what ends up happening is we're going to be emailing the list two times a week for the next 41 days. And when you see that countdown clock communicated reliably over 41 days, and it gets down to three days, and it gets down to two days, if you've been engaging in those emails, that is when the spike happens.

56:21 - Jim Huffman Totally. Yeah, the final hours, final days. That's very cool.

56:28 - Jim Huffman I love this. I'm really excited to see this play out, especially seeing how you guys were spending and now you're spending $1,000 per day. Yeah, very cool.

56:39 - Craig Swanson The one thing I love is I love seeing what you're doing with T-shirts because as you're going, I'm both thinking what I would do if I didn't have any physical goods. The physical goods is something I don't really understand.

56:51 - Jim Huffman Yeah, me either.

56:52 - Craig Swanson But I will say, if you're communicating really clearly ahead of time that it is a pre-order with an expectation it's not going to be delivered until October, you can almost treat it like physical goods or like a digital good. And if you are doing that, what do you have to know? What would I have to know in your shoes where I could be spending $1,000 a day or $10,000 a day? Yeah.

57:21 - Jim Huffman I don't know. I was kind of messaging with, I think we're about to start increasing it probably 10 15% per day and just keep going. And then once it gets below, probably even a two row ads is when we'll sit like, okay, let's, let's reassess. But it's also, it's kind of peak season right now. So it's, it's demand capture season in my mind.

57:45 - Craig Swanson That is the one. Okay. So that's one thing you're not doing is you're not capturing those people.

57:50 - Jim Huffman Oh, from like an email perspective.

57:52 - Craig Swanson Yeah. I mean, cause the other thing I'm doing is like, I am, I am getting, so I'm getting, I'm getting what I'm getting, like five, I'm getting five to 10 conversions per day, but I'm getting 500 emails per day.

58:03 - Jim Huffman Yeah. That is the, that's yeah. That's interesting.

58:07 - Craig Swanson And then I've, and then I'm emailing them twice a week leading up to this thing with a deadline.

58:12 - Unidentified Speaker Yeah.

58:13 - Jim Huffman Um, if I go to need apparel, need apparel.

58:19 - Jim Huffman No, So it's like, it could be a symbol. Like, be the first to know when. Oh, you know what I would do? Oh.

58:41 - Craig Swanson Yeah.

58:47 - Craig Swanson Do this. Or here's what I would do. Here's what I would do.

58:55 - Craig Swanson Let me find one Have a pop-up that offers that gives that like want 10% or like 120% off your first purchase with a coupon code and it pops up for every single visitor and We, we have, you know, we,

59:17 - Jim Huffman you know, we could go that route for sure. I'm even thinking of experimenting with, cause we had that and so many people were using the discount. We're like, let's pull it down and see if they'll buy it just without a discount. Cause it was hurting margins. Um, but, um, a part of me is like, we're selling it like crazy, but then we get like early access, but that might not be enough. But yeah, I, um, I think it's that spectrum of, how much we want to give away versus play the urgency scarcity model.

59:45 - Craig Swanson The only thing in terms of my thought process, my thought process is right now I am trying to get my mailing list. I'm paying $1,000 a day And I wouldn't be paying $1,000 a day for five to 10 purchases. It wouldn't be worth it, even if it were ROAS. But I'm getting 500 emails a day. And so the thing is, it would be cleaner, and I would get more sales, and I'd have more money in the bank today if my path was add Conversion, but what I'm doing is add email capture conversion totally and the reason I'm doing add email conversion is because is because of this is because like, you know, it's a 16,000 and I want it to be a hundred thousand by the time I end this thing and if I can't get it to a hundred thousand Then I don't have like and so you really are at a place and then you have another tricky part which is I I value you as a human being. I love you. I love your shirts. I'm not sure that I need to have information about your shirts on a regular basis.

1:00:57 - Jim Huffman That's the thing. It's not like an e-product where you can get free content. It's like, what's the real incentive for the email? It's trying to wrap your head around that. I'm gonna have to go to a sales call at two o'clock, but Yeah, this is super exciting what you're doing. It's to Bryce man. This is very cool I'm like beyond motivated and fired up. But yeah, if you send me those scripts, I'm gonna be cranking away on it I'm even thinking through other ad creative to get you but you know, no man, this is fun And then yeah, you go to your sales

1:01:27 - Craig Swanson meeting. I'll get your stuff.

1:01:28 - Jim Huffman Okay, cool. See great
