Jim Huffman: Meet with Craig (Zoom) 
Mon. Jun 3, 2024

0:37 - Jim Huffman Hey, yo, how you doing?
45:57 - Jim Huffman Yeah, I definitely do.

46:02 - Craig Swanson Because to some degree also, cause I'm collecting all this stuff. I don't need it to be all right on target for GMOS.

46:10 - Craig Swanson Okay.

46:11 - Craig Swanson Um, so like we've got now the, uh, pretty much all the content for the playbook. And that's in there. If you've got this and whether it's an hour or two hours or even if it's like multiple versions of the same thing.

46:37 - Craig Swanson Because there's this world in which I look at this and I go, OK, well, you're using this to sell them $2,000 growth hit services.

46:47 - Craig Swanson Could this be a $2,000 product?

46:53 - Jim Huffman I'm totally fine to test like this. This is a little bit more on the execution side. And there's a certain persona that needs this. We have a whole client that we get or we have a partner that feeds us companies where they just like launch a new hoodie or something. Hoodie for cats. And they know nothing about setting up a website or whatever. And, and we like, like in their mind, we are geniuses, but we're just like doing the basic stuff, but it's not a huge, um, uh, we'll probably make like five or 10 grand from them over the lifetime.

47:32 - Craig Swanson All right. So, so this one sounds like the growth program, like, like does this page kind of like your growth programs, just kind of basically the seven steps for this approach, how to validate if your company is ready to grow.

47:45 - Jim Huffman Yeah.

47:46 - Craig Swanson Um, how to craft a unique value proposition, how to create an activation offer.

47:52 - Craig Swanson Yeah.

47:53 - Craig Swanson How to stand up a funnel, how to build your growth model, a launch strategy, and then your 12 month growth tactics.

48:02 - Jim Huffman Exactly.

48:02 - Unidentified Speaker Yeah.

48:03 - Craig Swanson Is this now you haven't really, like, this was an idea that sounds like it never really found its way to market or did like, like you, Yeah, we never really like pushed it out because multiple reasons.

48:17 - Jim Huffman One, we just got busy with their own stuff to have shiny object syndrome. And three, we just didn't have the the right energy behind it.

48:25 - Unidentified Speaker OK.

48:29 - Jim Huffman Yeah, I mean, an ad behind it or anything.

48:37 - Jim Huffman I mean, you can even be like, do you think something like this would sell better than the growth marketing operating system? Or maybe it's testing both? Because this could even be, sorry to interrupt, but this is almost like you have the system for growth. And then I'm calling them like toolkits or playbooks, where it's like, hey, it's a playbook from like going from idea to standing something up, right? This could be, you know, a part of it.

49:06 - Craig Swanson I think this might sell more as a solution.

49:15 - Craig Swanson I don't know. But the reason I ask is, if you've got a recording of this, if you've got a recording of what this thing is, and I could throw it in there, I'd be curious where this overlaps. And if the growth marketing operating system is less tactical, I'm trying to think here, I tend to think in a certain price point, like tactics, okay, what do you think the difference between tactics and strategy is? Is growth marketing operating system, I'm not clear, if the thing here is tactics, what is the growth operating system, growth marketing operating system?

49:57 - Jim Huffman Yeah, it's more frameworks, right? On how to build a growth plan, how to run your team, how to get the most out of a team, how to build a strategy.

50:10 - Jim Huffman Whereas this is pretty tactical on like, hey, I need to turn this thing into this idea into a business. You know, help me help me like, you know, start from the basics of ground one to get a live and get traffic and make it work.

50:29 - Craig Swanson All right. Actually, that is super helpful. That is super helpful.

50:32 - Jim Huffman Yeah. And so this is like early stage, not sophisticated, whereas the growth marketing operating system, you're live, you're in the wild, you're doing some things in marketing and you're trying to level up.

50:47 - Craig Swanson One of the things that EOS is kind of like narrowed itself is basically, you know, kind of like one of the rules of thumb is you need to have 10 employees for it to really make sense. I mean, which is not entirely true, but like, that's kind of like one of the ways of positioning.

51:00 - Unidentified Speaker Yeah.

51:01 - Craig Swanson Um, So it sounds like the growth marketing operating system is more of a framework for someone that's more sophisticated that actually has an understanding of the individual elements and is not figuring out how to get the overall mix correct.

51:19 - Jim Huffman Yeah, correct. It's like you're doing seven figures, you have a team and you're trying to figure it out. Whereas this is like you have an idea and you're trying to get it live.

51:28 - Craig Swanson I don't know.

51:35 - Craig Swanson The idea and trying to get it live, I think I might have an easier understanding how to craft the pitch for that and get someone to a purchase button sooner.

51:49 - Craig Swanson If I look at this, these seven stages, where are they in the growth marketing? So like, are they one tactic? Is this like all centered in like the first step of the growth marketing operating system? Is it kind of spread across it?

52:06 - Jim Huffman It's spread across, but it's essentially all there. I mean, the only thing like, yeah, like validating, like where, yeah, that's in a unique value prop, that's in the positioning and strategy section, same with the offer. Stand up a funnel and a shoestring budget. Yes and no, that gets pretty tactical on like what a website or a webpage should look like and in ads, where I'm kind of thinking through, could that be a part of the toolkit of a growth market operating system? Building your growth models in there, launch strategy would be a tool in your toolkit. And then the 12 month growth engine is the growth calendar. So there's lots of overlap.

52:51 - Craig Swanson Okay, cool. Um, I'm gonna I'm gonna stop the share on that but It looked like you were typing some things into an online thing. We able to find a video for that Wait for the growth program. Yeah.

53:06 - Jim Huffman Oh, no. I actually just wrote it down as a note to find it I'm trying to think what I did to Techstars that was along these lines. Let me do some digging. I feel like, I mean, there's a world I could even like record it in addition to the growth marketing operating system just so we have it because I do think it's worth doing this right.

53:33 - Jim Huffman It's two totally different personas to go after. If I did that talk at EO about the growth program one, I don't think it'd be as interesting because people are like, I've already done that, been there. I do think growth market operating system works. However, The masses, that growth program probably aligns more if we're trying to go bigger. I do, yeah, but they probably don't have the budget like some of the bigger companies would for the GMOS.

54:09 - Craig Swanson Well, the way we're pricing a lot, I mean, like we haven't really talked pricing for GMOS. Yeah.

54:23 - Craig Swanson Do you, yeah, if I, okay, so what do you think the odds are you're gonna be able to find a video? I'm just trying to get a sense of like,

54:31 - Jim Huffman It's sad. I should know this better. I'm called 45% chance, 50% chance. Okay.

54:38 - Craig Swanson So not, not, not a, I mean, you know, you delivered it, you know, you deliver it in front of zoom, but you don't know where it is or if it is still a thing that exists.

54:47 - Jim Huffman Potentially. Yeah. I'm trying to see like in tech stars, how much of it I use. So yeah.

54:53 - Craig Swanson Okay. Um.

55:06 - Craig Swanson All right. Which do you want to do? I don't want you to do two things. So by next Friday or, you know, by, by, by a week from Friday, um, recording of GMO GMOS. Um, and if it's available, sending me this, but otherwise not really looking at the growth program right now.

55:22 - Jim Huffman Yeah. I can also like record some, I know that like the back of my hand, to be honest, like it's not, I could pull that off. So I'm down to potentially do both.

55:37 - Craig Swanson I'm just following my instincts. I'm just following my instincts. I think if I could pick between one or the other in a narrow timeframe, I'd be attracted to seeing the growth program. The growth program feels like something that would be a quicker to market thing with, with, um, some of the things that you are phrasing it, that seemed like maybe like make it less attractive to you, which is that it's,

56:07 - Craig Swanson I mean, it's basic or simple or straightforward or like, you know, it is executionally pretty straightforward. Um, um, I don't think it precludes the larger program. In fact, it could be a stepping stone to the larger program, but it might be, it feels a little more tangible in terms of what it's promising and what's delivering.

56:31 - Jim Huffman Yeah.

56:33 - Jim Huffman Yeah, because one thing I was wrestling with is like, you go focused on, you know, go from idea to business. Or is it like, how do you get to seven figures? This is the path. Or you could go specific to e-commerce Shopify, like turning your idea into a real e-commerce Shopify site that makes money. There's a few different ways to do it, or you keep it high level and it's the growth program. Turn your idea to something that can make seven figures.

57:06 - Craig Swanson How would you feel if I asked for a recording of this instead of the growth marketing system?

57:11 - Jim Huffman I'm fine. I mean, I am the more excited about the growth marketing operating system, but it's funny as you showed that I just look at that. I'm like another example of me having idea and like working on it and like moving on to the next thing and never got it to do. And so I'd love to actually test that.

57:27 - Craig Swanson I feel that I feel that I'm struggling with this myself right now. Um, I'd love it if you had the magic answer on how you stay focused.

57:40 - Jim Huffman Oh my gosh. Yeah. We literally just launched the website. We realized, oh no, that's not the right thing to market. I'm like, I got to like keep myself in check stuff.

57:50 - Craig Swanson You have to go at one, right?

57:52 - Jim Huffman Uh, I can go over a little bit, but yeah.

57:54 - Craig Swanson Could you just very quickly, so I'm going to share this again. So you see the screen. Um, can you just, for me, uh, share, share screen.

58:09 - Craig Swanson Can you just quickly describe what is the point and purpose of each of these seven steps, and what do I have to have in my hand to know that I've done it?

58:22 - Jim Huffman Okay. Yeah. Um, yeah. How to validate your company is even ready to grow. It's like too many times people will just throw money at ads. It's like, wait, are you even ready? So it's like, do you actually have a product worth selling and not necessarily be better, but you know, your point of differentiation, a website, can you have a channel that works to drive traffic? And then it's like, let's figure out where to go. And then it's like, okay, step two.

58:48 - Craig Swanson Um, so before, before you leave, step one is step one, like a checklist of like, like, like the, like here, here's just like the ante, the, the, the table settings, like here's the basics checklist. Are you in a position to grow or are you evaluating whether you have a product that's growable? Like, are you evaluating scalability or are you just evaluating fundamentals?

59:09 - Jim Huffman I think it's fundamental. You're evaluating if you should even focus on growth or you need to make sure you have something worth growing.

59:17 - Craig Swanson Got it. Can you take somebody's money? If you take somebody's money, can you deliver them something? Yeah. And if you deliver them something, are they going to sue you because you didn't deliver them something? Yes. Because if those are all no, then we probably don't want to worry about growth right now.

59:33 - Jim Huffman Yes, yeah, exactly right. Yeah. And I actually have a few questions, but we can even like whittle it down to like what that would be. The second one, unique value prop, we have, it's like an exercise you go through to uncover the customer key benefit point of differentiation. And then the third activation offer, you know, five core things you need to figure out that you can do to create urgency and give them a no brainer offer. Fourth is, okay, standing up that funnel on a shoestring budget, which is, where are you driving the traffic? What is this page? One page website? Pre-sale sales, whatever. And then what is that traffic source? Usually social ads or Google ads, um, building a growth model, maximize your tiny budget. It's basically a model where you're like, okay, how much does it cost to make the product? What am I selling for? What are the margins? Okay. How much can I actually invest in growth?

1:00:30 - Craig Swanson Um, is that actually, is that actually like a, at the end result of that, do I have like a, a very basic performer or a very basic, like, uh, you know, costs, expenses, like spreadsheet that basically tells me how I make my money back?

1:00:47 - Jim Huffman Essentially, it's like your tax ceiling on what it could be. And then based on an investment, when that payback would be. So knowing that you're going to have to make an investment, ideally getting a payback in 90 days or 180 days. A launch strategy is a very clear checklist of pre-launch, launch, post-launch, and what to do factoring in a limited budget. And then finally, post-launch, guess what? People go away, you need to bring them back. So basically countering out your 12 months based on always-on channels versus your marketing moments and what you're doing each month or week. To kind of hit those goals. So there's lots of core deliverables with each of these.

1:01:33 - Craig Swanson So this feels to me like it is really This is basically five key steps, value proposition, activation offer, funnel, your understanding of CAC and growth model, and then basically launch strategy. Those five things buttressed by kind of a checklist at the beginning that basically says, are you ready to pull those five things? And then a follow-up that basically says, okay, now that you've successfully done that, That's step one. And now let's talk like longer term stuff. Here's a big list of all the things you might want to consider, each of which could trigger a bunch of other needs.

1:02:10 - Jim Huffman Exactly right. Yeah.

1:02:13 - Craig Swanson So it's a five step, basically, when you have something that you can sell and that you can deliver, there's a five step process to basically get a marketing strategy out into the field with a launch and a funnel.

1:02:30 - Jim Huffman Yeah, I like the way you're wording it, yes.

1:02:39 - Craig Swanson Then in your mind, there'd be a list of things that the growth hit could do to solve these problems, but also you found getting $2,000 prepayment and then have to work it off in time and materials, that sounds like a crappy business. It's just not very enthusiastic.

1:02:59 - Jim Huffman Yeah, well, there's, I care about retention. I want to like close something.

1:03:03 - Craig Swanson You want to, you want to be there for them when they, when they're able to spend more, you want to be there in step seven when they're actually like up and running.

1:03:09 - Jim Huffman Yeah, this works better as like a one to many rather than a one to one.

1:03:14 - Craig Swanson Um, I think so too.

1:03:15 - Jim Huffman Yeah. And the other thing, like, like neat, literally did this exact playbook where I could do a case study where it's like, here's how we took this site, went from a 0.6 conversion rate to a four conversion rate, got the AOV from 60 to a hundred and we sold out of products and like 40 days.

1:03:34 - Craig Swanson Right. And then we have a huge other problem. We can't talk about like bigger term picture, but basically here's how we did this. Fantastic. Would you say that when you were doing your stuff for Neat, was it more in alignment with this or the larger GMOS?

1:03:49 - Jim Huffman A hundred percent this because there's more of that stage of we need to get this going and running.

1:03:54 - Craig Swanson If we were going to do this, if we were going to do this, is how much time can you talk in each? So number one isn't quite the same, but steps two, three, four, five, six, those core ones, how long do you think each of those exercises are?

1:04:16 - Jim Huffman I mean, I just sold the two and three to somebody for 2,500 bucks where I need two calls where I kind of get a download from them on it. And then the second call, we take that download and we apply it to kind of basically four different things to extract it out. But that's me kind of doing it with them.

1:04:42 - Jim Huffman So I'm not sure that's answering your question.

1:04:45 - Craig Swanson No, that's great. Have you already delivered that?

1:04:48 - Jim Huffman I'm delivering it tomorrow at 9 a.m.

1:04:49 - Jim Huffman Are you going to record it? I sure am. Yeah.

1:04:53 - Jim Huffman I can send that to you. I mean, I have the first meeting recorded as well. But that first meeting is a little loose because I'm just trying to like and that was actually a really complicated one. I could probably get a more straightforward one for you. But but it's still the same framework.

1:05:10 - Craig Swanson You know, there's so so when you OK, so So this actually, the more we talk this out, especially because this is what you did for Neat, this is what you did for Neat, I kind of feel like this is an easier sell. So part of what I'm attracted to, it feels like an easier sell. In the sense that the offer is a lot more, it is a much simpler offer and it's a lot more pain-oriented offer. It's like a solution that they can understand without having to be very sophisticated.

1:05:46 - Jim Huffman Yeah. I mean, I could easily record this one by next Friday, if not before then. I have a random idea for a name for it. Are you ready?

1:05:54 - Unidentified Speaker Yep.

1:05:57 - Jim Huffman The sold out playbook.

1:05:59 - Craig Swanson There we go. I love it.

1:06:02 - Jim Huffman Well, I don't know. The growth program, I'm also like, don't get too cute. It's like, just say what it is. There's like growth. You could say launch. Yeah, there's a whole path we could go down.

1:06:15 - Craig Swanson If you were going to, just talking about how something like this would go to market, would you do this over five weeks or would you do this in one intense day where you basically, people are working in real time?

1:06:35 - Jim Huffman I get both. I mean, there's so much meat on the bone with value props and activation offers. With standing up the funnel, you could have it dedicated to your ads, have it dedicated to your website you're landing people on. You could go as deep as you want on this.

1:06:58 - Craig Swanson Yeah, if you can get me, I actually think This is not taking away the growth marketing operating system. The growth marketing operating system is more... Okay, so here's the problem we have with the growth marketing operating system in my mind. We didn't get enough feedback from the survey. We didn't get... There were not people leaning in with a sophisticated understanding of what they wanted to purchase.

1:07:24 - Craig Swanson So we need to find something that- We still have to validate, like, yeah, absolutely.

1:07:29 - Craig Swanson Exactly. And so because we do not have an audience that wants to throw money at us, we have to create the need. What is that term? I mean, there's a term for it that you use. Need creation?

1:07:42 - Jim Huffman Oh, demand creation?

1:07:44 - Craig Swanson Demand creation. We need demand creation for the thing we're going to take to market because we don't have the demand, like, trying to throw money at us.

1:07:53 - Jim Huffman Yeah. So this has a broader appeal that growth operating systems, a smaller audience, they have bigger checkbooks, but this one's a much wider audience. Um, which if we're trying to scale this without an existing audience on ads, this is probably better for that.

1:08:12 - Craig Swanson And I also think that, um, this one can tie into other stories you're doing. I mean, like this, this, we could potentially do demand creation on.

1:08:23 - Jim Huffman Yeah. And that's the thing, we need to think with distribution as like the primary thing on how we get this out to the right people in a cost effective way. And it's gonna work. I mean, you could literally, I see the ad where it's like sold out, sold out. Like look what happened with our sales. Look what happened with our conversion rate and all because of this five point system. And it's like, yeah.

1:08:48 - Craig Swanson When I bought into Neat, we had warehouses filled with product, which is why I was able to buy in. It was the opportunity. We did not figure out the marketing. I use the same five-point system that I teach. We have a different problem in need now. Now we're sold out.

1:09:09 - Craig Swanson I got larger problems. If you too would like to have the problem of too many people buying your stuff than being able to deliver it, that is what this program is for.

1:09:18 - Jim Huffman I'm so glad we're recording this for that exact script. That's very good.

1:09:24 - Jim Huffman I could literally like require I could do this in like a weekend and like we add the case study. I have everything from neat where we could. Yeah, this could be a good one.

1:09:35 - Craig Swanson I think I mean, here's the thing. This is smaller. And that's smaller, I think is more likely to get us to phase two and more likely to actually create something that can lead into the growth marketing system, the growth marketing operating system. Cause GMOS there's so many interconnected pieces. You have a higher, you have a higher price point, a higher audience, but you also have a higher delivery challenge. And if this is like almost like super simple delivery challenge and like solves a problem that people could pay thousands of dollars for.

1:10:09 - Jim Huffman Yeah.

1:10:13 - Jim Huffman And I love it too, it's like, here's the system, here's what you want. By the way, if you need help executing, go to Growth Hit, right? Because that helps me justify some investments to make into this even more, even on the ad spin side, which could be super exciting.

1:10:28 - Craig Swanson All right, I will send, okay, so... Okay, let's go back to the original commitment.

1:10:40 - Craig Swanson By a week from Friday, you're going to get me what?

1:10:44 - Jim Huffman I will get you not the growth marketing operating system. I'll get you the growth program recording. I'm going to record it. Should I incorporate neat examples in case studies? Go for it.

1:10:57 - Craig Swanson Okay. Do whatever you want. Also, you know, to the degree that you feel comfortable sharing the client conversations you have, if you have the recordings of the $2,500 thing that you just delivered, like there's this world in which, um, yeah, like, like, yeah, that's just perfect. I mean like that, that type of like recording of you providing the expertise within a little bit of framework, that's exactly what these systems I'm building are designed to like help streamline into course building.

1:11:26 - Jim Huffman Gotcha.

1:11:29 - Jim Huffman Okay, awesome. I am excited for this. Okay.

1:11:36 - Craig Swanson And if you have a list of like number one, how to validate for companies ready to grow, my guess is when I think about the people in EO, a lot of EO, there's a lot of people that have created really good million dollar businesses, multi-million dollar businesses that actually have really crappy marketing. So they have a product that people can pay them for and they can deliver. But they proudly say we're a word-of-mouth company, which for me, I always ask, does that mean you have a proactive word-of-mouth advertising campaign? Yes, right. Or do you mean that you use it the way people use the word organic? It's sometimes wholesome that you basically are completely hands-off with your marketing relationship.

1:12:19 - Jim Huffman Right? Yeah, I totally agree. Because I used to be that person, there was a badge of honor, like, oh, I do know marketing. It's all word of mouth. And it's like, that's so dumb.

1:12:28 - Craig Swanson Whereas what you could say, oh, we're 100% word of mouth. And we have an amazing word of mouth marketing system that drives in tremendous results for us.

1:12:36 - Jim Huffman Yeah. I love that.

1:12:40 - Jim Huffman For the talk with the O, which one do you think makes the most sense?

1:12:46 - Craig Swanson I don't know what I'm buying yet for this growth program, but my guess is...

1:12:56 - Craig Swanson What I really want to know is I want to know number one, how to validate for companies ready to go. I want to see what that list is. Almost like there's this checklist that you go through and basically check, check, check. If you have all these things in place, you're ready for the growth marketing operating system. If you have just these things in place, then, um, you basically need the, uh, you know, the marketing launchpad, the, uh, the, the sold out launchpad, the, the, the play, like you just basically need to get yourself into some sense of like proactive marketing.

1:13:25 - Jim Huffman Yeah.

1:13:28 - Jim Huffman I am and be even interested interested in asking people like what would you prefer? Okay This is okay. Awesome. Also, I will I will get this team Cool.

1:13:43 - Craig Swanson Um, did I give you the link to that to that AI tool?

1:13:47 - Jim Huffman Nope. Oh, I think you did. Let me grab it.

1:13:49 - Jim Huffman Mm-hmm.

1:13:50 - Jim Huffman You put it in here. Wait clownfish. There it is.

1:13:54 - Craig Swanson Oh No editorializing there. That just automatically generates a generic URL.

1:14:00 - Jim Huffman That's awesome. Oh, this makes my day. This is so cool.

1:14:07 - Jim Huffman This was fun. I've got my work cut out for me. Thanks for making this. This makes it really, really exciting. So some more to come on my end from the growth program, but I'll put this together.

1:14:18 - Craig Swanson All right, cool. Thanks a lot.

1:14:20 - Jim Huffman Awesome. Thanks, Drake.

1:14:21 - Jim Huffman All right, bye.
