Zoom Meeting 
Tue. Apr 2, 2024

4:46 - Unidentified Speaker Hello. Oh, what's up?
44:28 - Multiple Speakers I assume it gives all the right triggers to Facebook so you can do conversion based marketing. It definitely does. But like, yeah, I'd prefer to get off of it.

44:35 - Craig Swanson Yeah. And then if it's converting, Then we basically go into list building with conversion as the target. And we try to spend about as much money on Facebook ads as we are receiving in payments. And then all the auxiliary stuff that comes in outside of that becomes bonus.

44:57 - Unidentified Speaker Yeah.

44:58 - Multiple Speakers No, I think that's a good track record.

45:00 - Craig Swanson And I think the investment's really minimal dollars in time.

45:04 - Jim Huffman And I, yeah, I, yeah. And, and I can even, the network isn't huge, but whatever I can do on my side to help promote the lead up to the event that can help cushion some of the costs too, or at least the investment. And I think once we pick the dates and everything else, like you could use, you can use the pot and this is where we kind of like, it becomes a little bit of us figuring out as we go along.

45:28 - Craig Swanson So I can see ways that you could absolutely use the podcast as part of the drum beat for this. It also becomes kind of like, you know, you're, you, you know, you, you get to decide that it's like, you don't have to commit to it upfront, like on all these things. Um, Some of it's opportunistic, but I mean, the thing is, once you get $50,000 in sales, if it's working, especially if you're the type of person that we can just like keep adding to what, you know, what we're spending on Facebook, as long as it's making its money on a daily basis, I mean like, then it really just becomes kind of the oh shit, like how much prepayment can you take for something that doesn't exist before you start

46:08 - Jim Huffman to get delivery.

46:09 - Craig Swanson Yeah, it's like go time, yeah, yeah. And even the people, we've already sold at 119, that the right price?

46:14 - Multiple Speakers Do we need to change that?

46:15 - Jim Huffman We can still like, I'm not worried about those 10 people that bought. We can, yeah. You can gift them a $2,500 thing if we ended up doing that. Totally. Yeah.

46:26 - Craig Swanson So probably there's some work leading into it, but basically like the first sprint would be for us to get the initial, um, kind of the initial offer, whatever structure that is, which is generally a date we're counting down to and, um, the broad promise and offer we're making to the market and an email capture for it. Yeah.

47:00 - Jim Huffman And I'm also down to do some experimentation and maybe it'll be a little bit harder on the page But on different ads on how we position it I'll be so fun. Yeah, I have a lot of thoughts on that Because so many different personas whether it's like Shopify DTC or you're doing EOS. This is missing like yeah I would love that in general in general. We don't pay ourselves for it on time.

47:24 - Craig Swanson So basically we're putting in our own time I In general, the people in our lives, if you're paying them hard costs, basically our partnership would pay those. So it's going to cost a couple thousand dollars to do the website. That's basically what I would pay my developer. It's a contractor relationship. If we end up doing a bunch of creative designers, things like that, Yeah, we either pay them directly or pay them through growth hit directly might be a little, I mean, so we'd figure that out, but it's not intended

47:51 - Jim Huffman for like us to just get a bunch of free service from growth hit.

47:55 - Craig Swanson And that's, I mean, I'll, we'll take it, but you know, totally. Yeah. And there's times where it's fine, but if it becomes a big, it's a lot of crap. Yeah. And I think we can be aligned there.

48:01 - Multiple Speakers Cause it's really about being very efficient with the resources we have to do this.

48:07 - Jim Huffman Um, I'm also thinking through, um, you know, expectations on roles on my end, on your end.

48:14 - Craig Swanson Cause you're kind of saying like, let me do, you'll do the technical side.

48:16 - Jim Huffman I'm focused on product. I'm thinking through what that actually means. Like what is needed from me as far as content output at different levels. So something to think through just so I can figure out how I pull that off and do it from the sense of how do we guarantee success? What do you need from me? I don't work on a guaranteed success type of mindset. I don't.

48:45 - Craig Swanson I work on a prove, like basically prove out the opportunity mindset. So at a very minimum, we need a really solid video pitch for this thing. On a selfish standpoint, if we were to meet on a recurring basis, I would almost like to record it and see if there's a podcast in there. Because basically, I'm going to be walking you through my framework for course launch that may be similar to this. So it might actually be nice to use this as an example of my framework for course launch.

49:23 - Craig Swanson Yeah. Oh yeah, that's a great point. Yeah, I'd be very open to that.

49:27 - Unidentified Speaker Yeah.

49:30 - Craig Swanson And then if this looks like it, so basically there's this initial phase where you get it up, start seeing if there's momentum. Like right now, 10 orders isn't enough to like change it. So like we're looking for some thing, but then like if we start to feel momentum, then one of the things you can do is you can contribute five minutes per episode of your podcast for an ongoing conversation around this.

49:52 - Craig Swanson Yeah, yeah, absolutely. And then with that, that's going to generate video.

49:58 - Jim Huffman What part of town do you live in? I'm in Magnolia.

50:01 - Craig Swanson Oh, Magnolia. I'm in Ballard. Yeah, you're super close. I'll just ride a bike over. So the other thing we can do is we could also potentially set up a recording studio for video that makes it easier. Just depending on what we want to do. You need to go? Yeah I need to go but I love that idea because I need a better studio I think to record this and we can get some cool shots if we're able to do that there because I know you've got the

50:24 - Jim Huffman goods.

50:25 - Multiple Speakers I've got people in my life just like you've got people you can help create really great ads and everything else like I've got people my teams have just created tons of live broadcast and video production.

50:35 - Craig Swanson Yeah okay that'd be amazing. What's the next step before I go? Let's set up another one and that's true.

50:42 - Jim Huffman Let's see if we want to actually pull the trigger on this, sign an agreement and see how long that takes, but it can be a really quick process.

50:50 - Craig Swanson I can send over the agreement so you can see what it looks like,

50:52 - Multiple Speakers Send it. Let's move fast. I'm out next week for spring break, so I'd love to see if we can get this dialed in this week.

50:58 - Jim Huffman That'd be amazing. All right. I'll send to you today. Okay, cool. Talk soon, Craig.
