Zoom Meeting 
Wed. May 1, 2024

0:08 - Craig Swanson Okay.
48:53 - Craig Swanson Oh, um, you know what, what you do is you set the dates. Um, and, uh, by the way is, is, is pre-recorded easier for you?

49:04 - Jim Huffman Um, I would probably think so just because I don't have to be tied to a specific time or date.

49:12 - Unidentified Speaker Yeah.

49:13 - Craig Swanson Yeah, we could absolutely. So basically you get to deliver anything you want.

49:17 - Multiple Speakers So in the case of Sue, she pre-recorded all her stuff and then she was doing live coaching.

49:24 - Craig Swanson I'll tell you what, the live coaching is so much better. Yeah, that's true. But, but I mean, we could, if people show up, then I'm down to do the coaching.

49:34 - Jim Huffman If there's nobody there, it's like, can I just record all these and like we send them out. Exactly, just like release them.

49:39 - Multiple Speakers Yeah, yeah, exactly.

49:41 - Craig Swanson So the other thing is, the other thing is, because I'm also a member of EO Learning Chair and all that, regardless of all that, so I'm kind of like switching my hat over to EO a little bit. It's a little bit self-serving, but I was there already. If I could book you, if I could basically book a version of this content in a half day, in basically a three-hour workshop. Totally.

50:05 - Jim Huffman And I don't know what month it would be, but it'd be before December. So basically, I'd put you in the first half of the year. So basically, I would, yeah. Awesome, like EOS for marketing for business owners.

50:13 - Craig Swanson Exactly. And it can be, and that is also a great test run for it. It also would give us a video that we could cut into things. So it would be a benefit to, it would let me serve my role as EOLearner. Yeah, yeah. If it turns up by the time we get there, this, like this partnership isn't really turning into something that I feel like it's got legs, like it's still serving EO. I really genuinely feel like you can deliver it.

50:39 - Craig Swanson I didn't actually quite understand the way the 13 frameworks tie into the EOS understanding. This is something you could Socratically talk out with a little bit of pressure in front of an audience pretty easily.

50:53 - Unidentified Speaker Yeah.

50:54 - Jim Huffman Yeah. Actually, that's a good point.

50:55 - Multiple Speakers If I'm, if I'm saying, Oh, this also integrates with the iOS, I calling that, that can be an interesting slope.

51:02 - Jim Huffman Yeah. That's, um, it's a very good call. I kind of drive it home with that.

51:08 - Craig Swanson I mean, cause the, cause the 13 frameworks are like the underpinning of this iOS type thing.

51:14 - Jim Huffman Yeah.

51:15 - Craig Swanson Um, Yeah, so actually, I'm trying to lock down my EO schedule here, but I would like to basically lock you in. I don't know what month it'll be, but it's going to be between July and December. I mean, I know it's not going to be December.

51:37 - Jim Huffman If it were July, is that too soon? It's a good forcing function. Maybe I can make that work. I would just want to know tomorrow if it's July. But I will say I'm down to do it sooner than later so we could get the material to leverage for ads. So I'm open, maybe late July. Let me take a look here.

52:05 - Craig Swanson I'm actually going to pull up my calendar here. It's not a calendar, it's a spreadsheet.

52:19 - Unidentified Speaker Okay, so let me give you a couple dates. Let me give you a couple dates.

52:25 - Craig Swanson If it were July, it would either be July 17th or 18th.

52:36 - Jim Huffman I'm thinking about switching over to Thursday. So let's just say, is July 17th or 18th available for you? Um, it sure is. Oh, wait. Um, yes, I have a concert on the 17th at night. So yeah, I'm good.

53:01 - Unidentified Speaker Yeah.

53:02 - Craig Swanson And so this would probably be like one o'clock to four o'clock. Okay.

53:07 - Jim Huffman Yeah. Um, yeah. So July would work.

53:13 - Craig Swanson Um, would I put July here? Uh, Jim would August 21st work or 22nd?

53:29 - Jim Huffman Yes. Both of those also work.

53:33 - Craig Swanson I'm pretty sure September. I've got someone booked.

53:36 - Unidentified Speaker And so the next one will be October. And I think October starts to get far enough away. You'd rather do it earlier.

53:41 - Jim Huffman I agree. I'd rather do July or August than October.

53:47 - Unidentified Speaker What do you think would have better attendance, August or October?

53:52 - Craig Swanson Experienced experienced Instructors know basically anybody that that cares about the size of the audience and has enough experience Pushes to not want to do it until September just because like July and August tend to have the summer fighting against

54:07 - Multiple Speakers them Which also by the way is one of the reason why September's not an option because I've already had like the one kind of like one of my lynchpin ones is already kind of like claimed September as the one

54:19 - Jim Huffman that she wants. Yeah Oh man, that's a very good point. Cause yeah, I, I almost feel like August is the worst and July is the second worst out of all the months. Cause people are traveling and doing things in October. What would be the date for October?

54:37 - Craig Swanson Um, actually October, we're not even doing it. So October is when our chapter retreat, the chapter retreat is happening in October. And so the date we'd normally do it is taken up by the chapter retreat. Okay.

54:50 - Jim Huffman All right, and what do you think is better, July or August? I mean, I could try and make July work.

54:56 - Craig Swanson Well, let me ask you, if it is, so let's say it is a small core group. Let's say it's 10 people. How does that feel? That's fine.

55:08 - Jim Huffman It'll be more interactive and collaborative, which sometimes those, those are fine. Um, so actually sometimes I want bigger just from an exposure standpoint, but I want bigger too.

55:21 - Craig Swanson I'm just like, I'm, I'm yeah.

55:25 - Jim Huffman Cause I, I did quite a bit with a and a, like I'm flying to Orlando to do a thing for Marriott. I'm doing some for Exxon and like, yeah, some, it'll be like seven people and some it'll be like, 60 people and I usually get more fired up for the big ones. But yeah, but more intimate ones It's like I'm like this isn't a talk.

55:45 - Multiple Speakers This is a conversation and it's a working session So so so with EOS, I'll send you the video for you.

55:51 - Jim Huffman So we just did EOS EOS, I think there were about 20 people there. Yeah, and And he ended up putting them in pods of four and so I kind of like there are pods of four and like people did work on stuff like together.

56:05 - Craig Swanson Yeah, it's kind of cool.

56:06 - Jim Huffman Yeah, yeah. The other question I'd be thinking is like how interactive do I want it? Like how much is it me talking? How much is it the workshop and what I want them to be working on? I'd love to test it on I could probably try to hit up some groups to test it before EO. I'd love to test it on a group before EO.

56:30 - Craig Swanson Let me look at June, let me look at July. So July, originally I was potentially gonna let July just not be scheduled. So I was potentially gonna not push something into July. And I've been debating that. So the one thing also, And you could use this locally. I don't know that you really care about local groups. But I'm also opening these up to non-members for Yale. So basically, we can actually promote.

56:56 - Craig Swanson So I want to turn these monthly events into recruiting opportunities.

57:00 - Jim Huffman Oh, that's a great idea. Yeah. And that could be great, because then if the goal is like selfishly getting a bigger audience, that's huge. Yeah.

57:11 - Craig Swanson You know what? Let's do that. So July 17th. Wait a second. Wait a second.

57:23 - Unidentified Speaker No, no. July 17th is my 30th anniversary.

57:32 - Multiple Speakers You're almost in big trouble. Wow, that date sounds very familiar to me.

57:40 - Craig Swanson All right. Let me, uh, let, let me, let me look at my calendar and like, get back to you.

57:45 - Jim Huffman Yeah. There's like a week I'm gone in July, but it's like the early part of July. I think a lot, but it might also be, I'm actually thinking it might be August.

57:52 - Craig Swanson So I originally had Shannon Swift potentially in August, but I, but she doesn't know that.

57:57 - Jim Huffman And so, um, so I actually think August might be good. Cause I actually think the things, things start to spin up.

58:02 - Craig Swanson You said August is like worst in July, a second worst. I actually think it's the other way around for me.

58:06 - Jim Huffman Oh, cool. Let's do August gives you more time and I can write on another group, which would be awesome. Yeah.

58:12 - Craig Swanson Yeah.

58:13 - Jim Huffman And I would go to that Thursday over the Wednesday, unless you think Thursday or Wednesdays are better.

58:18 - Craig Swanson Do you, in general, you have any sense of like what would work better from like for an afternoon, Wednesday afternoon or Thursday afternoon in general for EO members to take education?

58:32 - Jim Huffman Man, I don't know. I don't know. I usually think the week gets a little bit easier towards the end and maybe- I originally wanted to do Thursdays and I got moved because Thursday wasn't available in my Northern Trust.

58:44 - Craig Swanson I'm going to try to push these into Thursdays and I'm going to try to not have lunch because I don't think people care about the lunch part. So I'm going to go from like one to four as a rule. That'd be awesome. I'm going to pencil that in. You bought me a little more time.

58:58 - Jim Huffman Thank you. Okay, so I have to jump here a couple of minutes. What are the action steps that we're thinking through? For me, it's like work on the content and the course, but also what are your thoughts on me focusing on potential offers at different price points to maybe pitch back to you if that's what we'd want to stand up?

59:28 - Craig Swanson I think, think about what you'd offer in terms of the price point. If we could stand up a page, and I probably, do you love Gumroad or is it just Gumroad is just convenient?

59:44 - Jim Huffman I do not love Gumroad. Their fees are too high. I'm totally down to switch to anything.

59:51 - Craig Swanson So I think that where our next stage would be would be for us to get to a place. So I've actually been holding off on having us put money into the account. So as long as $5,000, I still think I'd probably put $5,000 for each of us in and then just kind of like, That's also a really great threshold. By the way, here's another threshold. If we use up all $10,000 and we don't see a path, that's also a really clear breaking point where basically, okay.

1:00:21 - Multiple Speakers It's just money.

1:00:21 - Jim Huffman Like, okay, do we want to dip our hands back into our pockets or like, hey, let's reassess?

1:00:27 - Unidentified Speaker Yeah.

1:00:28 - Craig Swanson Yeah. Um, and I didn't want to take any money from you until like, you know, we were like, cause the survey didn't cost anything. So basically like, like, yeah, let's find out where we are first.

1:00:39 - Multiple Speakers Um, and that's where I'm thinking like, where are we putting the, the 5k a piece?

1:00:44 - Jim Huffman Cause then it's like heavy on ad spend. Right.

1:00:48 - Multiple Speakers Is it a lot of creative.

1:00:51 - Craig Swanson It's probably going to be like a couple hundred dollars a month for a Klaviyo account.

1:00:57 - Unidentified Speaker Yeah.

1:01:00 - Craig Swanson Let's say a thousand dollars, give or take to spin up a offer page, you know, whether, whether that's creative, technical, like, like I, I'm not saying where the, and then. Once we've got an offer page, really, then we start doing, we start using it on ads, basically. I mean, because I don't think, I think that the path we're gonna go is we're gonna see, hey, can we get this unpaid?

1:01:26 - Jim Huffman Yes, yeah, yeah. That's the main thing. And then I'll do whatever I can to try and lift it as it aligns with some of the stuff we're trying to do, but primarily paid ads.

1:01:37 - Craig Swanson And then are you doing paid ads on Facebook and Instagram for GrowthHead?

1:01:41 - Jim Huffman We're doing very light retargeting, like $10 a day. And we spend about $7,000-$8,000 a month on Google Ads. We got our cost per lead under $250 right now. And so that's going really well. There is a world of Google Ads, but it's not cheap. We just would have to find the space.

1:02:02 - Craig Swanson Maybe what we end up doing is we get to a place where we can run some initial testing. I prefer testing on Instagram and Facebook because you can target people.

1:02:14 - Unidentified Speaker Totally.

1:02:15 - Jim Huffman Yeah. And I think with some of these impulse purchases, it'd be better. Okay.

1:02:18 - Multiple Speakers I have to go jump to this.

1:02:20 - Jim Huffman So my action items, let me think through some of those offers to come back with what those could be.

1:02:26 - Multiple Speakers And then we can chat again about, okay, when we'd want to think about going live with that.

1:02:30 - Jim Huffman And also just build the course in the meantime.

1:02:33 - Craig Swanson Absolutely, and we're going to use August 22nd probably. I'm going to put you in for August. So that means you're going to be the August lead, which also means when we do our kickoff for EO, we're going to have your face right up there.

1:02:48 - Multiple Speakers Oh, right, and there we go, a little promotion, yeah.

1:02:50 - Craig Swanson Because basically, I want to have kickoff basically say, this year, your peers are basically teaching all sorts of things and Jim Huffman is teaching this and you know. Yeah, okay, that's awesome. I want to give you the script for that. Okay, cool. Well, I'm excited, man.

1:03:05 - Jim Huffman All right, well, more to come. Good to catch up with you, Craig.
