GMOS World Domination Kick-Off Call 
Wed. Apr 3, 2024

3:41 - Craig Swanson There we go. I had to acknowledge that it's being recorded.
44:19 - Craig Swanson Yeah.

44:19 - Jim Huffman I'm trying to figure out what that is. Cause I do like their quarterly cadence.

44:22 - Multiple Speakers Like there's, there's something really nice here that I'm still trying to like hone in on.

44:30 - Craig Swanson If we have, so I also tend to think that you are going to invent a portion of this while there are people in front of you.

44:36 - Jim Huffman So that's okay. Yeah.

44:41 - Multiple Speakers There'll be parts of it. The good thing is like there's parts of this I've already taught.

44:46 - Jim Huffman A lot of this just never together. So I feel content on the modules. It's really the connective tissue and showing the step-by-step plan, which by the way, I think is crucial to nail that.

45:02 - Craig Swanson If we were gonna break this into two, three-week things, I almost feel like North Star Strategy and something else are the first three weeks, based just on this, and then process data and research. Are they each taught individually? So it's almost like the strategy and then the rat race, the hub, the cycle, the flywheel. Flywheel's not bad, but basically there's this kind of, There's this thing that you're building.

45:32 - Craig Swanson And this, by the way, this process data research, this is the thing I feel like potentially we could really augment with AI.

45:39 - Unidentified Speaker Yes.

45:41 - Craig Swanson Because that is what your agency makes most of its money on right now. But that's the thing that's going to go away most likely, right?

45:48 - Unidentified Speaker Yeah.

45:49 - Jim Huffman Well, what's interesting, the agency kind of Like we like run this internally, but don't sell it because we sell like CRO ads But then there's this system that we run to do it. No you I start to get loud like like research, like no one does research well, um, for the most. And so like, that's the quantitative, qualitative stuff. Data is like how you track and it's like an input scorecard in addition to your KPI scorecard.

46:18 - Jim Huffman And then like how you run things. Cause like, it's like, we don't really directly sell this. We indirectly sell this. If that makes sense.

46:25 - Craig Swanson What I meant was the work product created by that flywheel is what you sell.

46:29 - Unidentified Speaker Correct.

46:30 - Jim Huffman Yes, yes, yes.

46:31 - Craig Swanson And so basically you have strategy, like big picture stuff, and then you have this internal flywheel system you use to create all the ads to do all this. And that's the stuff that I think is probably at greatest risk for AI.

46:46 - Jim Huffman Absolutely, the execution, absolutely.

46:49 - Craig Swanson Exactly. Yeah. So if I were going to, look, this is your area, but like, now do you think you teach, like if you're picturing teaching this, do you teach process data research as three separate weeks?

47:06 - Jim Huffman So there's a lot of meat in strategy and process.

47:11 - Multiple Speakers These are a little bit lighter. And I'm thinking of almost like breaking up.

47:18 - Jim Huffman So I'm thinking of how to put this across five. So it's like maybe North Star plus a little bit of strategy and the one just dedicated a strategy that's to process three. Process might need two and then one which is data and research and how it works together. It's kind of where I'm going on this. I'm also thinking through how I teach with, what I see goes well is frameworks and examples and case studies and And yeah, and how to fit this into an hour.

47:54 - Jim Huffman But anyway, I think I can even write that out on what I'm thinking for the order.

47:59 - Craig Swanson Yeah. When I create the sales document, like when we create the sales document, I'm not going to say whether it's an hour or so. Oh, okay. Yeah. Like we give as few details basically for the initial sale. For the initial sale, we give as few details as are required to get the sale.

48:22 - Unidentified Speaker Yeah.

48:23 - Craig Swanson Um, because we, you can't take something away from people once you've promised to deliver it.

48:31 - Jim Huffman Yes. Yeah.

48:33 - Craig Swanson But you can add things that they never anticipated or were promised. So, you know, it'd be a six, it'd be a 40. So if it's four to six weeks and we're uncertain, it's a four week course. Like, like basically we basically go for the most deliverable thing that we can do and no one will get pissed if we add two more weeks in.

48:55 - Unidentified Speaker Gotcha.

48:56 - Jim Huffman Yeah, yeah. It's like a bonus. Okay.

48:59 - Craig Swanson Um, And I think, so how are you at engaging with online communities?

49:22 - Multiple Speakers And what online communities do you engage with if you engage with them?

49:27 - Jim Huffman Um, I'm in a few like tech stars, slack, um, there's, you know, slack there's, um, a couple of DST communities that I'm in and like the acquisition entrepreneurship stuff, but I can be much more. Engaging leading up to this in an authentic way.

49:45 - Craig Swanson Yeah. If you were, if you were going to pick now, I don't think that we're selling exactly the people that you've been selling.

49:54 - Jim Huffman Yeah, correct.

49:57 - Craig Swanson We're probably gonna get more entrepreneurs like we're gonna get people that aspire to something like, you know And I wonder sorry interrupt.

50:04 - Jim Huffman I'm think like this is a good conversation for us. It's like for so it's like the EOS Evangelists Colton people that if we just say us for this you have like founders You also have the people that are like just becoming managers, or I actually have a lot of

50:25 - Craig Swanson friends that are becoming CMOs now that are like, oh, I'm interested about that.

50:29 - Jim Huffman Like growth or marketing managers or marketing leaders. And then you obviously have the entrepreneurs, right? Which might be, I think with my book, that's probably the leader.

50:44 - Craig Swanson And then you have the industry specific, if it's like Shopify, startup founders, et cetera. So the way I envision this is people don't even get to see the offer until they give us their email address.

51:11 - Jim Huffman Tell me, meaning the price, right?

51:15 - Multiple Speakers No.

51:16 - Jim Huffman So can I, let me share my screen. Please. Yeah.

51:19 - Unidentified Speaker Mm-hmm.

51:21 - Craig Swanson Here, let me see.

51:22 - Multiple Speakers I think I know what you're talking about, because you showed it with the Sue Bryce, where it's just like teasing what's coming.

51:28 - Craig Swanson Yeah. OK, I love that concept. So I'm going to go to Healing Vibrations, so Sound Healers. So these guys have a 650,000 person Facebook list. This is right now- Wait, is this guy an EO? What's that? Is this guy an EO? He is an EO accelerator So there are two lead captures that are happening right now So basically if we click join the waitlist, this is you know, stay tuned for the journey We'll email you when we have something to tell you And he's been doing a series so let me let me actually kind of like walk you through this so there's this and then there is Singing I love how simple and clean your funnel is, by the way.

52:21 - Jim Huffman It's just like, I love it. Yeah.

52:24 - Craig Swanson And then we're giving away a crystal singing bowl, your chance to win by crystal singing bowl. And if you click enter now, you enter the single giveaway. Cool.

52:34 - Jim Huffman I have a lot of crap we could give away.

52:37 - Craig Swanson If we go over to Klaviyo, by the way, do you use something else?

52:44 - Jim Huffman I use ConvertKit, but for this, I'm fine using any tool. We use Klaviyo for all of our clients, so I'm down for this.

52:52 - Craig Swanson Actually, do you use Klaviyo for your Shopify store? What do you do for Shopify?

52:56 - Jim Huffman Yeah, for me, we use Shopify. I mean, Klaviyo.

52:59 - Craig Swanson Yeah. So here, like healing vibrations. Um, you know, we've got 1300 people in that list since like, I think we built, you know, earlier this week. And then, um, where that is coming from

53:14 - Unidentified Speaker Well, I should probably spell something correct.

53:26 - Craig Swanson Uh, Basically, he's doing an eight-week live streaming series, which is literally just him talking with his audience about incorporating singing bowls into their healing practices. And this whole thing is basically driving the definition. There's that thing that drives them to go sign up. So this is the flow. They go here, they go to that front page right there, they sign up. And so the only people in there, in the waiting list, kind of believe in him enough to just show up without really anything.

54:11 - Craig Swanson So we're not putting our thumb on the scale at all.

54:15 - Jim Huffman And I think you've got that to some degree.

54:20 - Craig Swanson I think that, so basically we want to promise, by the way, we click through, so there's one of two things. Probably we get a waiting list up initially. So we get a waiting list up really quick.

54:32 - Jim Huffman You could start mentioning it on your podcast.

54:37 - Craig Swanson Basically we could do that. Then at some point we shift over and now there's an offer.

54:42 - Multiple Speakers And the offer is basically the sales pitch, the name of the course, the price, all that.

54:50 - Craig Swanson But still they can't get access to it unless they basically give their email because what that lets us do is It lets us drive email capture while we are driving conversion advertising.

55:03 - Jim Huffman I Love it.

55:03 - Craig Swanson Yeah, that makes little sense because I mean the name of the game is building that waitlist exactly And if we do it like we do the Sue Bryce, I would get enough information from you I that we could effectively write out like a weekly or bi-weekly email series that is educating and basically like, I showed you all those Sue Bryce ones, but basically once they get on the waiting list, as we are marching towards June 10th, they're getting hit by all these things.

55:38 - Craig Swanson So we really want to maximize that. You remember I had that countdown? On your Friday email, we could literally like whether it's at the top or the bottom.

55:47 - Multiple Speakers Yeah, I could just put that countdown GIF incorporated into your layout and just basically continually hit people that basically you're counting down to the launch of this thing.

55:56 - Craig Swanson Yeah, a a well-communicated deadline and countdown, because you haven't done that many live sales. But basically, for me, in the final, like a well-communicated deadline, you will get up to 50% to 80% your sales in the final two days of a well-communicated deadline.

56:20 - Jim Huffman Oh, nice. Yeah, that makes total sense.

56:23 - Craig Swanson And along the way, you get to basically deal with all the objections leading up to that.

56:30 - Jim Huffman It's like oh, I want to do it, but XYZ you say that yeah I I'm thinking through the content. I need to arm us with to do this well from Transcripts copy video work one just to like have enough content that we could transcribe So you can easily do things. Yeah, and also High-quality video content because I think you mentioned the teaser video we need to nail that and like yeah We don't need, so we don't need the teaser video until we have the offer.

57:10 - Jim Huffman Okay.

57:11 - Craig Swanson So, so there'll be phase one, which will be effectively a single page get on the waiting list. Um, phase two will be the offer, which will need a, a great video of you speaking to camera. Great video of you. It doesn't like, it is just literally just a well shot video of you making your pitch to camera.

57:31 - Jim Huffman Gotcha.

57:34 - Craig Swanson And for that, like you've had the capability to like, you could film it there. If you like, you could film it there. First of all, you could film it there and we could use it. And also we can film it better. Like we can also like invest a little bit and do a better job.

57:48 - Unidentified Speaker Yeah.

57:49 - Jim Huffman Yeah. I'm down to do it, do it, do it well. If I need to get some equipment or I go to your studio or whatever that is.

57:54 - Unidentified Speaker Yeah.

57:58 - Craig Swanson And then We're in this list building process where you can't see the offer if you do not, if you've not given us your email address. Um, and then that ends and then the third, then basically then we just have a wide open offer and that offer page has been updated with all the information from the people that have purchased. Um, And I'll set some dates around March 10th or June 10th. I'll just kind of like back out some dates on what those different things look like, If I wanted to create a web page as soon as possible, like I wanted to get us to the place where we can do the waiting list, I tend to do...

58:41 - Craig Swanson One of the challenges with marketing topics, I tend to work with things that are photogenic. In some ways, because I've been selling photography and all these other things, when you're doing a photogenic thing, it's almost like you don't have to think out the sales page all that much.

58:55 - Multiple Speakers You just put a really beautiful photo. Even the sound here, that's actually cool. Just the lighting of what he was in, it's like...

59:01 - Craig Swanson Exactly. So I'll probably just look at maybe some of your other landing pages. Do you have any, from the stuff you've sold, do you feel like there's any messaging that's been super powerful? Oh, and I'm just kind of riffing a little bit. We just need a photo, an image, or something. If you have something, yeah, a lot of your stuff has a lot of words on it. It's not really like it says.

59:36 - Multiple Speakers Okay, yeah, so photo, I am, let me see, photo.

59:44 - Jim Huffman Hmm.

59:46 - Craig Swanson I mean, do you have a good photo of just you? I tend to not do this. I like that you don't have particular tech bro energy. You can certainly hang with the tech bros, but you don't have that innate tech bro energy for me. But if you just had a confident image of you looking at camera, like the hero image, that could be enough for us to do this.

1:00:13 - Jim Huffman If there's any specific examples you're thinking through, let me see what I can find or could attempt to recreate. I'm thinking through action items here. Okay Or we could go text heavy, I mean like it could be you know, I want to know what you've done that works Not to say that wouldn't work. But yeah, I mean down for either I Wish I had better images of me like teaching to a group.

1:01:03 - Craig Swanson I don't know if that's, you know, even that, even that is not. So I even think we might just go with just bold type. Potentially we might just go with like, I mean, we may just go with a bold type promise or something like that.

1:01:14 - Unidentified Speaker Yeah.

1:01:17 - Craig Swanson And a pain focus, like basically bold type pain sign up to the, you know, sign up for the, for information. Yeah. Um, Then once they sign up, once we get them on the mailing list, a type form that basically asks the two questions, what is it you want to create in your life? What problem do you want to solve? Basically, kind of wordsmith, what do you want in the most compelling way? What problems keep you from having that?

1:01:47 - Craig Swanson So basically, that's the two-step question. And then because these are people in marketing, one of the things I love is I think we can actually, I love it when I can just say, I am using a sales technique on you right now.

1:01:58 - Multiple Speakers And effectively, the third thing would be two fields.

1:02:07 - Jim Huffman Tell us how much you want to pay and what you want to get for it. Oh, interesting. Yeah. I mean, if we get that data, that's amazing.

1:02:14 - Craig Swanson I mean, I wouldn't totally believe it, but it is, it'll be interesting.

1:02:18 - Jim Huffman Yeah. I have to go there and say, you know, pick up my kids, but tell me like, talk about ads and driving traffic to this wait list and content or creative, um, that you're thinking through to pull that off.

1:02:36 - Craig Swanson Um, so initially the, the initial, 100 to somewhere between 100 to 1,000 initial people, it's kind of unused. So I'd probably lean into the podcast or something else. So that were 1,200 for Healing Vibrations, they literally, they're just pushing that out. I'm not doing any scripting or anything. They're just basically doing it, and I'm kind of watching.

1:03:05 - Jim Huffman Sorry, 100 to 1,000 waitlist or pre-sales?

1:03:08 - Craig Swanson Waitlist, not purchases. Okay. Yeah. Don't worry. I'm not, I, yeah, you just sell a thousand of these and then I can like show up and do something. But then, potentially, we pull from your video archives of just good clips of you teaching something. We could potentially pull memes, we could pull headline things. I don't know if you, have you had very much photography of you?

1:03:40 - Jim Huffman Do you have a library of media assets for you?

1:03:44 - Craig Swanson I can pull together some.

1:03:46 - Jim Huffman It'll be a little light, but I can pull together some.

1:03:52 - Craig Swanson So that's one advantage I have with Sue. Because I've been teaching all these things, they're very visual. You saw the ads I was doing with Sue, which is a photo of Sue and then just big, bold type that's promising something.

1:04:05 - Jim Huffman Yeah. Yeah.

1:04:07 - Craig Swanson So for you, you are going to have like these statements that are going to be on podcasts that we can search through and basically pull these really great ones and make type graphics out of them. Yeah, I. I will kind of like be watching you to see what you think people react to. And then I will kind of lean in. You also like you, you're doing all this stuff in LinkedIn, probably the stuff that you're doing on LinkedIn, that's selling, or that's working for growth hit will be things that we can repurpose.

1:04:40 - Jim Huffman Yeah, absolutely.

1:04:42 - Multiple Speakers And like the neat content that build in public does much better.

1:04:45 - Jim Huffman So there's a world of leaning into that with this and like any behind the scenes building public stuff that could help. I I'm down for that.

1:04:53 - Craig Swanson I actually love it. I love the idea of basically, you're almost using Neat as an example, and you just say, so I say, I am in your shoes. I am in your shoes. I am the CEO of a company. Sometimes they say, so here's the advantage I have as CEO. I sold billions of dollars of other people's stuff. And I'm the expert in the room in a lot of cases. And when I'm not the expert in the room, I'm able to bring to you expertise that even surpasses mine because I have access to it.

1:05:24 - Craig Swanson And I'm motivated because I, like you, have to make my business succeed. So come join me, and I'm going to show you how I scale.

1:05:35 - Jim Huffman Oh, man. I'm glad we recorded this because I think that's the script.

1:05:40 - Craig Swanson Yeah.

1:05:43 - Jim Huffman And also, we get to take multiple stabs at Scripps, just like you, yeah.

1:05:47 - Craig Swanson And I think, also, the other thing we can do is we can also leverage EO.

1:05:52 - Jim Huffman Leverage EO in a strategic way, because By the way, I can call your cell.

1:05:59 - Craig Swanson I don't know if you want to call it.

1:06:03 - Jim Huffman Finish that thought, though. I want to hear what you're thinking with EO.

1:06:06 - Craig Swanson Well, first of all, I'm a learning chair, so I'm already talking about having you effectively come and teach this thing for EO.

1:06:13 - Multiple Speakers Yeah, can we time it? Can we time it? Whether we use EO as a guinea pig, or we use it as a way to amplify it. One way or another, did you see on LinkedIn, did you see the trailer I did for BioLiftoff? Yeah, I liked it. That was really well done.

1:06:28 - Craig Swanson So we'll make one of those for you about you teaching at EO.

1:06:31 - Jim Huffman Awesome. That could be our promo video that we use. There we go.

1:06:35 - Craig Swanson We can get testimonials. There's a whole bunch of stuff we can do.

1:06:39 - Jim Huffman We can offer it to EO around the world.

1:06:42 - Craig Swanson Basically, we can also do these niche things. So the thing is we can play with some really fun stuff. So I would say for you, LinkedIn, Facebook, you've got all these ads. If you've got a Dropbox with a ton of shit in it, just send me that and let me look through it.

1:06:58 - Multiple Speakers Yeah, sorry. Let me, I just want to make sure I have my action items.

1:07:02 - Jim Huffman I'm very big on like progress and moving things forward. I think with me it's, what's, let's talk about most urgent. First, let me think through the photo library to pull stuff together and get assets, because key is getting that wait list page going. And then I am thinking through, I'm also just thinking through how I get, bring the first, um, tranche of people for the wait list. And then this one's also just kind of thinking through this, not as it's important, but not urgent.

1:07:36 - Jim Huffman Correct.

1:07:37 - Multiple Speakers Do you currently have a sponsor for this, for the podcast?

1:07:41 - Jim Huffman Um, no, we will, we do for the newsletter, but not for the podcast, but yeah, I can start making this the sponsor.

1:07:47 - Craig Swanson Yeah. Yeah. Cool. All right. Go pick up your kids. This is, we'll need to figure out a cadence where we can meet regularly and start marching through this. But, um, um, if we got, we don't need to have a public date, we're not going to tell anyone about June 10th right now. So we just need a wait list, a wait list and like in 10 words or less what they're waiting for.

1:08:08 - Jim Huffman Yeah. Okay. That's awesome.

1:08:11 - Craig Swanson All right.

1:08:14 - Jim Huffman Sweet. So I'm excited, man. It's gonna be fun. Cool.

1:08:17 - Craig Swanson All right. This is gonna be fun. And this has the potential to be huge. What's that? This has the potential to be huge. Yeah. No, I agree. Well, cool.

1:08:27 - Unidentified Speaker Thanks, Craig.
